 Part 2.

  A specification of experimentally based turbulent viscosities and
turbulent length scales in the bulk of the flow. The values beyond
3.0 diameters were obtained from a k-e solution in that region.

  To obtain a value at any arbitary point use bilinear interpolation
between the four surrounding points. The (FORTRAN) format used to read
these numbers should be: 4E13.3

    Axial        Radial       Turbulent    Length
    position     position     viscosity    scale
    5.000E-02    0.000E+00    3.400E-04    9.073E-03
    5.000E-02    2.000E-02    3.402E-04    8.977E-03
    5.000E-02    4.000E-02    3.397E-04    8.654E-03
    5.000E-02    6.000E-02    3.403E-04    8.221E-03
    5.000E-02    8.000E-02    3.399E-04    7.809E-03
    5.000E-02    1.000E-01    3.346E-04    7.341E-03
    5.000E-02    1.200E-01    3.560E-04    7.411E-03
    5.000E-02    1.400E-01    3.669E-04    7.152E-03
    5.000E-02    1.600E-01    4.107E-04    7.434E-03
    5.000E-02    1.800E-01    4.599E-04    7.705E-03
    5.000E-02    2.000E-01    4.461E-04    6.908E-03
    5.000E-02    2.200E-01    3.100E-04    4.412E-03
    5.000E-02    2.400E-01    1.694E-04    2.169E-03
    5.000E-02    2.600E-01    4.485E-05    4.039E-04
    5.000E-02    2.800E-01    4.989E-05    7.172E-04
    5.000E-02    3.000E-01    2.308E-04    3.418E-03
    5.000E-02    3.200E-01    3.636E-04    5.381E-03
    5.000E-02    3.400E-01    4.939E-04    7.291E-03
    5.000E-02    3.600E-01    5.967E-04    8.878E-03
    5.000E-02    3.800E-01    6.633E-04    9.929E-03
    5.000E-02    4.000E-01    7.088E-04    1.065E-02
    5.000E-02    4.200E-01    7.347E-04    1.099E-02
    5.000E-02    4.400E-01    6.691E-04    9.975E-03
    5.000E-02    4.600E-01    4.947E-04    7.593E-03
    5.000E-02    4.800E-01    2.568E-04    4.225E-03
    5.000E-02    5.000E-01    0.000E+00    0.000E+00
    1.500E-01    0.000E+00    3.394E-04    9.073E-03
    1.500E-01    2.000E-02    3.432E-04    8.977E-03
    1.500E-01    4.000E-02    3.440E-04    8.656E-03
    1.500E-01    6.000E-02    3.409E-04    8.221E-03
    1.500E-01    8.000E-02    3.411E-04    7.807E-03
    1.500E-01    1.000E-01    3.438E-04    7.346E-03
    1.500E-01    1.200E-01    3.697E-04    7.402E-03
    1.500E-01    1.400E-01    3.869E-04    7.164E-03
    1.500E-01    1.600E-01    4.090E-04    7.416E-03
    1.500E-01    1.800E-01    4.294E-04    7.687E-03
    1.500E-01    2.000E-01    4.251E-04    7.040E-03
    1.500E-01    2.200E-01    3.437E-04    4.861E-03
    1.500E-01    2.400E-01    2.990E-04    2.850E-03
    1.500E-01    2.600E-01    1.928E-04    1.549E-03
    1.500E-01    2.800E-01    2.051E-04    2.115E-03
    1.500E-01    3.000E-01    2.885E-04    4.394E-03
    1.500E-01    3.200E-01    4.280E-04    6.372E-03
    1.500E-01    3.400E-01    5.906E-04    8.399E-03
    1.500E-01    3.600E-01    7.614E-04    1.022E-02
    1.500E-01    3.800E-01    8.886E-04    1.150E-02
    1.500E-01    4.000E-01    9.703E-04    1.238E-02
    1.500E-01    4.200E-01    1.034E-03    1.265E-02
    1.500E-01    4.400E-01    9.230E-04    1.138E-02
    1.500E-01    4.600E-01    6.410E-04    8.457E-03
    1.500E-01    4.800E-01    2.709E-04    4.540E-03
    1.500E-01    5.000E-01    0.000E+00    0.000E+00
    2.500E-01    0.000E+00    3.439E-04    9.072E-03
    2.500E-01    2.000E-02    3.488E-04    8.978E-03
