 Part 3.


  The wall friction velocity is derived from the experimental velocity
at R = 0.4771 diameters. This is done by fitting to a log law if y-plus
is greater than 11.22, and to u-plus = y-plus otherwise. The data beyond
the experimental domain (3 diameters) is a linear extrapolation with
a cut-off at the fully developed pipe flow value (0.00972).

  The data has been specified at many points so that linear interpolation
will give accurate values at any axial position. The (FORTRAN) format
used to read the data should be: 3E13.3


    Axial        Axial        Friction
    position     velocity     velocity
    5.000E-02    3.077E-02    2.129E-03
    1.000E-01    2.740E-02    1.928E-03
    1.500E-01    2.251E-02    1.630E-03
    2.000E-01    1.610E-02    1.226E-03
    2.500E-01    8.172E-03    6.939E-04
    3.000E-01   -1.283E-03   -2.507E-04
    3.500E-01   -1.226E-02   -9.741E-04
    4.000E-01   -2.476E-02   -1.768E-03
    4.500E-01   -3.878E-02   -2.598E-03
    5.000E-01   -5.433E-02   -3.477E-03
    5.500E-01   -6.975E-02   -4.321E-03
    6.000E-01   -8.341E-02   -5.051E-03
    6.500E-01   -9.530E-02   -5.676E-03
    7.000E-01   -1.054E-01   -6.201E-03
    7.500E-01   -1.138E-01   -6.631E-03
    8.000E-01   -1.204E-01   -6.967E-03
    8.500E-01   -1.252E-01   -7.213E-03
    9.000E-01   -1.283E-01   -7.368E-03
    9.500E-01   -1.300E-01   -7.454E-03
    1.000E+00   -1.307E-01   -7.491E-03
    1.050E+00   -1.305E-01   -7.478E-03
    1.100E+00   -1.292E-01   -7.415E-03
    1.150E+00   -1.270E-01   -7.303E-03
    1.200E+00   -1.238E-01   -7.141E-03
    1.250E+00   -1.196E-01   -6.928E-03
    1.300E+00   -1.145E-01   -6.665E-03
    1.350E+00   -1.087E-01   -6.371E-03
    1.400E+00   -1.028E-01   -6.065E-03
    1.450E+00   -9.667E-02   -5.747E-03
    1.500E+00   -9.036E-02   -5.417E-03
    1.550E+00   -8.386E-02   -5.075E-03
    1.600E+00   -7.717E-02   -4.720E-03
    1.650E+00   -7.030E-02   -4.351E-03
    1.700E+00   -6.324E-02   -3.968E-03
    1.750E+00   -5.612E-02   -3.577E-03
    1.800E+00   -4.909E-02   -3.185E-03
    1.850E+00   -4.214E-02   -2.791E-03
    1.900E+00   -3.527E-02   -2.394E-03
    1.950E+00   -2.849E-02   -1.993E-03
    2.000E+00   -2.179E-02   -1.585E-03
    2.050E+00   -1.518E-02   -1.166E-03
    2.100E+00   -8.643E-03   -7.271E-04
    2.150E+00   -2.320E-03   -3.372E-04
