#  Plane Wake after a Circular Cylinder
#   Measurements by Antonia and Browne
#   Dynamic field profiles at x/d=420  (see readme.txt for additional notes)
#    Eta            f             U/Uo            uu/(Uo)**2      vv/(Uo)**2      ww/(Uo)**2      k/(Uo**2)    Eps*L/(Uo**3)   Eps_h*L/(Uo**3)  D(q2v)/2D(Eta)
0.000000E+00    1.000001E+00    1.761111E+01    9.076920E-02    5.620383E-02    5.830509E-02    1.026391E-01    3.073071E-02    2.753571E-02    1.911888E-02
1.000000E-01    9.941197E-01    1.761699E+01    9.234022E-02    5.619166E-02    5.863336E-02    1.035826E-01    3.080042E-02    2.766007E-02    1.493342E-02
2.000000E-01    9.756643E-01    1.763545E+01    9.635364E-02    5.612713E-02    5.951762E-02    1.059992E-01    3.133943E-02    2.795515E-02    6.807758E-03
3.000000E-01    9.439236E-01    1.766719E+01    1.017595E-01    5.597765E-02    6.080883E-02    1.092730E-01    3.194587E-02    2.830393E-02    -1.391000E-03
4.000000E-01    9.003323E-01    1.771078E+01    1.075075E-01    5.571059E-02    6.235794E-02    1.127880E-01    3.230035E-02    2.858941E-02    -7.919000E-03
5.000000E-01    8.468954E-01    1.776422E+01    1.125479E-01    5.527439E-02    6.401591E-02    1.159191E-01    3.217541E-02    2.869448E-02    -1.314000E-02
6.000000E-01    7.856177E-01    1.782549E+01    1.158305E-01    5.454154E-02    6.557666E-02    1.179743E-01    3.162866E-02    2.850159E-02    -1.641000E-02
7.000000E-01    7.185038E-01    1.789261E+01    1.165637E-01    5.336557E-02    6.660592E-02    1.182676E-01    3.075400E-02    2.789307E-02    -1.820000E-02
8.000000E-01    6.475586E-01    1.796355E+01    1.149901E-01    5.160001E-02    6.661240E-02    1.166013E-01    2.950512E-02    2.678499E-02    -1.889000E-02
9.000000E-01    5.747868E-01    1.803632E+01    1.114879E-01    4.909840E-02    6.521711E-02    1.129017E-01    2.782587E-02    2.522838E-02    -1.797000E-02
1.000000E+00    5.023571E-01    1.810875E+01    1.059457E-01    4.578033E-02    6.249025E-02    1.071081E-01    2.576091E-02    2.330800E-02    -1.546000E-02
1.100000E+00    4.330944E-01    1.817802E+01    9.812936E-02    4.182973E-02    5.861437E-02    9.928674E-02    2.338009E-02    2.110860E-02    -1.083000E-02
1.200000E+00    3.694521E-01    1.824166E+01    8.780485E-02    3.749655E-02    5.377200E-02    8.953670E-02    2.075328E-02    1.871499E-02    -4.982000E-03
1.300000E+00    3.117430E-01    1.829937E+01    7.501418E-02    3.303082E-02    4.814559E-02    7.809529E-02    1.795740E-02    1.621190E-02    6.534755E-04
1.400000E+00    2.597445E-01    1.835137E+01    6.090331E-02    2.864399E-02    4.194792E-02    6.574761E-02    1.509769E-02    1.368408E-02    6.026692E-03
1.500000E+00    2.132354E-01    1.839787E+01    4.689423E-02    2.439351E-02    3.551212E-02    5.339993E-02    1.228649E-02    1.121387E-02    1.061968E-02
1.600000E+00    1.719926E-01    1.843912E+01    3.440904E-02    2.029817E-02    2.920150E-02    4.195436E-02    9.636128E-03    8.873552E-03    1.376297E-02
1.700000E+00    1.357941E-01    1.847532E+01    2.453101E-02    1.637690E-02    2.337951E-02    3.214371E-02    7.250835E-03    6.733075E-03    1.530529E-02
1.800000E+00    1.044176E-01    1.850669E+01    1.698968E-02    1.265635E-02    1.830866E-02    2.397734E-02    5.202501E-03    4.862261E-03    1.473002E-02
1.900000E+00    7.764069E-02    1.853347E+01    1.117596E-02    9.194147E-03    1.384847E-02    1.710929E-02    3.554915E-03    3.331023E-03    1.225594E-02
2.000000E+00    5.524109E-02    1.855587E+01    6.480825E-03    6.055651E-03    9.757633E-03    1.114705E-02    2.362911E-03    2.209210E-03    9.597294E-03
2.100000E+00    3.699691E-02    1.857411E+01    2.539314E-03    3.306250E-03    5.794973E-03    5.820269E-03    1.645464E-03    1.532923E-03    7.012516E-03
2.200000E+00    2.268563E-02    1.858842E+01    0.000000E+00    1.165808E-03    1.914960E-03    1.540384E-03    1.412580E-03    1.203047E-03    4.538943E-03
