 
          AIRFOIL GEOMETRY  DSMA661(MODEL A)
 
     J      X/C      Y0/C    PHI(DEG)      Y0/C     PHI(DEG)
                     UPPER SURFACE         LOWER SURFACE
     1    0.000     0.00000   90.00       0.00000    90.00
     2    0.002     0.00739   59.29      -0.00919   124.75
     3    0.005     0.01030   45.00      -0.01037   142.77
     4    0.010     0.01501   33.50      -0.01478   151.22
     5    0.025     0.02253   21.92      -0.01935   167.58
     6    0.050     0.03076   15.74      -0.02330   172.74
     7    0.100     0.04212   10.37      -0.02866   174.59
     8    0.150     0.04979    7.37      -0.03310   175.27
     9    0.200     0.05534    5.35      -0.03677   176.41
    10    0.250     0.05929    3.78      -0.09390   177.87
    11    0.300     0.06205    2.58      -0.04037   179.71
    12    0.350     0.06379    1.36      -0.03985   181.44
    13    0.400     0.06436   -0.10      -0.03799   182.72
    14    0.413     0.06378   -1.42      -0.03568   183.36
    15    0.450     0.06360   -1.62      -0.03527   183.42
    16    0.493     0.06195   -2.72      -0.03259   183.66
    17    0.500     0.06161   -2.89      -0.03214   183.68
    18    0.550     0.05860   -3.99      -0.02888   183.77
    19    0.593     0.05524   -4.93      -0.02603   183.80
    20    0.600     0.05463   -5.07      -0.02557   183.80
    21    0.650     0.04973   -6.10      -0.02225   183.78
    22    0.693     0.04483   -6.90      -0.01943   183.74
    23    0.700     0.04397   -7.01      -0.01897   183.73
    24    0.750     0.03745   -7.83      -0.01573   183.69
    25    0.793     0.03132   -8.37      -0.01298   183.65
    26    0.800     0.03028   -8.43      -0.01253   183.65
    27    0.843     0.02383   -8.60      -0.00980   183.62
    28    0.850     0.02277   -8.60      -0.00936   183.62
    29    0.893     0.01626   -8.61      -0.00664   183.61
    30    0.900     0.01520   -8.61      -0.00620   183.60
    31    0.918     0.01248   -8.61      -0.00507   183.57
    32    0.940     0.00916   -8.54      -0.00372   183.45
    33    0.950     0.00766   -8.46      -0.00313   183.36
    34    0.970     0.00473   -8.23      -0.00200   183.10
    35    0.975     0.00400   -8.18      -0.00173   183.04
    36    0.990     0.00188   -7.91      -0.00096   182.73
    37    1.000     0.00051   -7.68      -0.00051   182.50
