 
          AIRFOIL GEOMETRY  DSMA671(MODEL B)
 
     J      X/C      Y0/C    PHI(DEG)      Y0/C     PHI(DEG)
                     UPPER SURFACE          LOWER SURFACE
     1    0.000     0.00000   90.00       0.00000    90.00
     2    0.002     0.01090   63.37      -0.00896   114.29
     3    0.005     0.01330   48.74      -0.01304   126.84
     4    0.010     0.01949   40.95      -0.01921   135.96
     5    0.025     0.02826   25.20      -0.02968   151.04
     6    0.050     0.03739   16.61      -0.04025   161.74
     7    0.100     0.04905   10.52      -0.05200   170.39
     8    0.150     0.05690    7.62      -0.05861   174.14
     9    0.200     0.06277    5.86      -0.06276   176.20
    10    0.250     0.06724    4.36      -0.06538   177.76
    11    0.300     0.07043    2.97      -0.06672   179.17
    12    0.350     0.07248    1.78      -0.06685   180.55
    13    0.400     0.07357    0.73      -0.06569   182.14
    14    0.443     0.07380   -0.14      -0.06348   183.79
    15    0.450     0.07377   -0.28      -0.06300   184.09
    16    0.493     0.07323   -1.17      -0.05921   185.99
    17    0.500     0.07308   -1.32      -0.05846   186.30
    18    0.550     0.07144   -2.43      -0.05195   188.51
    19    0.593     0.06923   -3.46      -0.04486   190.15
    20    0.600     0.06880   -3.63      -0.04359   190.37
    21    0.650     0.06507   -4.90      -0.03384   191.57
    22    0.693     0.06096   -6.02      -0.02485   191.93
    23    0.700     0.06021   -6.21      -0.02337   191.93
    24    0.750     0.05418   -7.55      -0.01298   191.39
    25    0.793     0.04803   -8.75      -0.00474   190.20
    26    0.800     0.04694   -8.96      -0.00349   189.94
    27    0.843     0.03966  -10.28      -0.00328   187.79
    28    0.850     0.03837  -10.51       0.00421   187.32
    29    0.893     0.02982  -12.04       0.00836   183.32
    30    0.900     0.02831  -12.34       0.00871   182.43
    31    0.918     0.02424  -13.19       0.00908   179.82
    32    0.949     0.01642  -15.31       0.00761   174.75
    33    0.950     0.01615  -15.41       0.00751   174.59
    34    0.970     0.01025  -17.49       0.00508   171.62
    35    0.975     0.00865  -17.93       0.00432   170.95
    36    0.990     0.00359  -19.49       0.00173   169.83
    37    1.000     0.00002  -19.68      -0.00001   170.37 
