# Pressure coeff. along the side walls
# file name : pressure.dat

# X : Coordinate along the inside wall
#     whose origin is at the beginning of the bend
#     normalized by duct width
# Cp : (P-Po)/(dynamic pressure of the free steam at station U1)
#      where Po is pressure on the inside wall
#      at the beginning of the bend (X=0,Y=0,Z=3)

# Inside (or convex) wall
# No. of pressure taps =  80
#      X            Cp
-0.70938E+01   0.16922E+00  
-0.63438E+01   0.14136E+00  
-0.55938E+01   0.11748E+00  
-0.48438E+01   0.10554E+00  
-0.40938E+01   0.93603E-01  
-0.33438E+01   0.85644E-01  
-0.25938E+01   0.81664E-01  
-0.18438E+01   0.73704E-01  
-0.12188E+01   0.81664E-01  
-0.11250E+01   0.77684E-01  
-0.10000E+01   0.73704E-01  
-0.87500E+00   0.73704E-01  
-0.75000E+00   0.77684E-01  
-0.62500E+00   0.77684E-01  
-0.50000E+00   0.69724E-01  
-0.37500E+00   0.65744E-01  
-0.25000E+00   0.49825E-01  
-0.12500E+00   0.33906E-01  
-0.31250E-01   0.20670E-02  
 0.12500E+00  -0.61611E-01  
 0.25000E+00  -0.10539E+00  
 0.37500E+00  -0.14519E+00  
 0.50000E+00  -0.18897E+00  
 0.62500E+00  -0.22876E+00  
 0.75000E+00  -0.25264E+00  
 0.87500E+00  -0.26458E+00  
 0.10000E+01  -0.27652E+00  
 0.13750E+01  -0.22080E+00  
 0.17500E+01  -0.20886E+00  
 0.21250E+01  -0.26458E+00  
 0.25000E+01  -0.26856E+00  
 0.28750E+01  -0.24866E+00  
 0.32500E+01  -0.24070E+00  
 0.36250E+01  -0.26060E+00  
 0.40000E+01  -0.24070E+00  
 0.41250E+01  -0.22876E+00  
 0.42500E+01  -0.20091E+00  
 0.43750E+01  -0.17305E+00  
 0.45000E+01  -0.15315E+00  
 0.45938E+01  -0.12927E+00  
 0.46563E+01  -0.10937E+00  
 0.47813E+01  -0.89469E-01  
 0.48750E+01  -0.69570E-01  
 0.50000E+01  -0.45691E-01  
 0.51250E+01  -0.33752E-01  
 0.52500E+01  -0.17832E-01  
 0.53750E+01  -0.58927E-02  
 0.55000E+01  -0.58927E-02  
 0.56250E+01  -0.58927E-02  
 0.57500E+01  -0.98726E-02  
 0.58750E+01  -0.98726E-02  
 0.59688E+01  -0.98726E-02  
 0.65938E+01  -0.58927E-02  
 0.73438E+01  -0.21812E-01  
 0.80938E+01  -0.37731E-01  
 0.88438E+01  -0.49671E-01  
 0.95938E+01  -0.57631E-01  
 0.10344E+02  -0.69570E-01  
 0.11094E+02  -0.77530E-01  
 0.11844E+02  -0.81510E-01  
 0.12594E+02  -0.89469E-01  
 0.13344E+02  -0.12927E+00  
 0.14094E+02  -0.10539E+00  
 0.14844E+02  -0.10937E+00  
 0.15594E+02  -0.11335E+00  
 0.16344E+02  -0.11335E+00  
 0.17094E+02  -0.12131E+00  
 0.17844E+02  -0.93449E-01  
 0.18594E+02  -0.11733E+00  
 0.19344E+02  -0.12927E+00  
 0.20094E+02  -0.14519E+00  
 0.20844E+02  -0.14917E+00  
 0.21594E+02  -0.15713E+00  
 0.22344E+02  -0.16111E+00  
 0.23094E+02  -0.17305E+00  
 0.23844E+02  -0.16907E+00  
 0.24594E+02  -0.18499E+00  
 0.25344E+02  -0.18897E+00  
 0.26094E+02  -0.19295E+00  
 0.26869E+02  -0.19693E+00  

# Outside (or concave) wall
# No. of pressure taps = 106
#      X            Cp
-0.70938E+01   0.18514E+00  
-0.63438E+01   0.14932E+00  
-0.55938E+01   0.12544E+00  
-0.48438E+01   0.10952E+00  
-0.40938E+01   0.10156E+00  
-0.33438E+01   0.93603E-01  
-0.25938E+01   0.89624E-01  
-0.18438E+01   0.93603E-01  
-0.12188E+01   0.10554E+00  
-0.11187E+01   0.10156E+00  
-0.99375E+00   0.10952E+00  
-0.86875E+00   0.10156E+00  
-0.74375E+00   0.11350E+00  
-0.61875E+00   0.12146E+00  
-0.49375E+00   0.13340E+00  
-0.36875E+00   0.14534E+00  
-0.24375E+00   0.16922E+00  
-0.11875E+00   0.20106E+00  
-0.31250E-01   0.21698E+00  
 0.63250E-01   0.24086E+00  
 0.11950E+00   0.24882E+00  
 0.21325E+00   0.26474E+00  
 0.30700E+00   0.27400E+00  
 0.40075E+00   0.28464E+00  
 0.49450E+00   0.29658E+00  
 0.58825E+00   0.30400E+00  
 0.68200E+00   0.31249E+00  
 0.77575E+00   0.30056E+00  
 0.86950E+00   0.30851E+00  
 0.96325E+00   0.31249E+00  
 0.10570E+01   0.30454E+00  
 0.11508E+01   0.31249E+00  
 0.12445E+01   0.31249E+00  
 0.13383E+01   0.30056E+00  
 0.14320E+01   0.30851E+00  
 0.15258E+01   0.28464E+00  
 0.17133E+01   0.28862E+00  
 0.18070E+01   0.30851E+00  
 0.19008E+01   0.30851E+00  
 0.19945E+01   0.30851E+00  
 0.20882E+01   0.30851E+00  
 0.21820E+01   0.31000E+00  
 0.22757E+01   0.31249E+00  
 0.23695E+01   0.30454E+00  
 0.24632E+01   0.30056E+00  
 0.25570E+01   0.30056E+00  
 0.26507E+01   0.30056E+00  
 0.27445E+01   0.28464E+00  
 0.28382E+01   0.29658E+00  
 0.29320E+01   0.28066E+00  
 0.30257E+01   0.29260E+00  
 0.31195E+01   0.28464E+00  
 0.33070E+01   0.29260E+00  
 0.34007E+01   0.30056E+00  
 0.34945E+01   0.29658E+00  
 0.35882E+01   0.30056E+00  
 0.36820E+01   0.30056E+00  
 0.37757E+01   0.29658E+00  
 0.38695E+01   0.29658E+00  
 0.39632E+01   0.28464E+00  
 0.40570E+01   0.28464E+00  
 0.41508E+01   0.28066E+00  
 0.42445E+01   0.28066E+00  
 0.43383E+01   0.24882E+00  
 0.44320E+01   0.25678E+00  
 0.45258E+01   0.20504E+00  
 0.46195E+01   0.19310E+00  
 0.47133E+01   0.18912E+00  
 0.48230E+01   0.15330E+00  
 0.49480E+01   0.12942E+00  
 0.50730E+01   0.11748E+00  
 0.51980E+01   0.97583E-01  
 0.53230E+01   0.77684E-01  
 0.54480E+01   0.65744E-01  
 0.55730E+01   0.46000E-01  
 0.56980E+01   0.25946E-01  
 0.58230E+01   0.10000E-01  
 0.59480E+01  -0.19129E-02  
 0.65730E+01  -0.98726E-02  
 0.73230E+01  -0.17832E-01  
 0.80730E+01  -0.33752E-01  
 0.88230E+01  -0.41711E-01  
 0.95730E+01  -0.61611E-01  
 0.10323E+02  -0.61611E-01  
 0.11073E+02  -0.73550E-01  
 0.11823E+02  -0.77530E-01  
 0.12573E+02  -0.57631E-01  
 0.13323E+02  -0.97429E-01  
 0.14073E+02  -0.10000E+00  
 0.14823E+02  -0.10141E+00  
 0.15573E+02  -0.11200E+00  
 0.16323E+02  -0.12529E+00  
 0.17073E+02  -0.11335E+00  
 0.17823E+02  -0.11800E+00  
 0.18573E+02  -0.12529E+00  
 0.19323E+02  -0.14519E+00  
 0.20073E+02  -0.13723E+00  
 0.20823E+02  -0.14121E+00  
 0.21573E+02  -0.15000E+00  
 0.22323E+02  -0.15713E+00  
 0.23073E+02  -0.16509E+00  
 0.23823E+02  -0.17200E+00  
 0.24573E+02  -0.18101E+00  
 0.25323E+02  -0.19295E+00  
 0.26073E+02  -0.19295E+00  
 0.26823E+02  -0.19295E+00  
