#  Velocity measurements obtained using the single-sensor hot wire probe
#  Flow temperature(degree centigrade)     = 25
#      density(kg/m^3)                     = 1.096
#      viscosity(m^2/sec)                  = 1.660802E-05
#  Atmospheric pressure (Pascals)          = 93730
#  Velocity of undisturbed free stream (Uref,m/sec)= 26.99
#  Location of traverse; X/C = -4.29  Z/T = 0  (X/T = -18.24)
#
#     y/T          U/Uref       u2/Uref2      w2/Uref2       uw/Uref2
  0.3540E-02    0.2869E+00    0.4490E-02    0.2513E-03    -.1096E-03  
  0.4248E-02    0.3647E+00    0.6351E-02    0.1129E-02    0.1533E-03  
  0.4956E-02    0.4257E+00    0.7209E-02    0.1189E-02    -.2564E-03  
  0.6372E-02    0.4827E+00    0.7184E-02    0.7830E-03    -.3338E-03  
  0.7434E-02    0.5150E+00    0.6706E-02    0.1283E-02    -.1493E-03  
  0.9204E-02    0.5523E+00    0.6256E-02    0.1315E-02    -.2023E-03  
  0.1133E-01    0.5850E+00    0.5860E-02    0.1478E-02    -.1979E-03  
  0.1381E-01    0.6092E+00    0.5411E-02    0.1438E-02    -.1201E-03  
  0.1699E-01    0.6297E+00    0.5425E-02    0.8054E-03    -.1767E-03  
  0.2053E-01    0.6489E+00    0.5281E-02    0.1216E-02    -.1506E-03  
  0.2513E-01    0.6741E+00    0.5088E-02    0.1841E-02    0.6466E-04  
  0.3080E-01    0.6960E+00    0.4935E-02    0.1613E-02    -.1038E-03  
  0.3717E-01    0.7160E+00    0.4873E-02    0.1448E-02    -.1212E-03  
  0.4531E-01    0.7381E+00    0.4680E-02    0.1465E-02    -.1460E-03  
  0.5522E-01    0.7637E+00    0.4487E-02    0.1715E-02    -.3838E-04  
  0.6761E-01    0.7907E+00    0.4192E-02    0.1754E-02    0.2425E-04  
  0.8212E-01    0.8123E+00    0.3863E-02    0.1967E-02    -.1082E-04  
  0.1005E+00    0.8400E+00    0.3393E-02    0.1456E-02    -.1033E-03  
  0.1218E+00    0.8736E+00    0.2923E-02    0.1259E-02    -.2155E-04  
  0.1487E+00    0.9042E+00    0.2431E-02    0.7158E-03    -.7019E-04  
  0.1805E+00    0.9334E+00    0.1692E-02    0.8039E-03    0.8045E-05  
  0.2198E+00    0.9662E+00    0.1053E-02    0.3700E-03    -.2617E-04  
  0.2680E+00    0.9957E+00    0.4523E-03    0.8251E-04    -.1592E-04  
  0.3260E+00    0.1011E+01    0.8491E-04    0.2397E-05    -.1817E-05  
  0.3972E+00    0.9985E+00    0.1567E-04    0.2047E-04    0.2516E-05  
  0.4832E+00    0.1015E+01    0.1167E-04    0.1518E-04    -.7677E-06  
  0.5883E+00    0.1002E+01    0.1090E-04    0.5025E-05    -.2834E-06  
  0.7165E+00    0.1005E+01    0.9323E-05    0.5495E-05    -.5709E-06  
  0.8722E+00    0.1014E+01    0.8832E-05    0.1545E-04    0.1412E-05  
