# File Name: BLLT.dat
# Large Tunnel boundary layer at cube location                                    
#
#         "Uh, m/s"       "d, mm"     "h, mm"         
#          4.22            6.0         240.0           
# (z-d)/h  U/Uh          u'2bar/Uh2      v'2bar/Uh2   w'2bar/Uh2      -u'w'bar/Uh2
  0.163   7.270E-01       2.419E-02       9999.9       7.255E-03       5.101E-03
  0.183   7.501E-01       2.294E-02       9999.9       7.336E-03       4.683E-03
  0.225   7.812E-01       2.345E-02       9999.9       8.001E-03       5.025E-03
  0.267   7.887E-01       2.204E-02       9999.9       7.942E-03       4.901E-03
  0.308   8.361E-01       2.113E-02       9999.9       8.111E-03       4.415E-03
  0.350   8.493E-01       2.146E-02       9999.9       8.140E-03       4.616E-03
  0.392   8.689E-01       1.999E-02       9999.9       8.089E-03       4.522E-03
  0.475   8.918E-01       1.816E-02       9999.9       8.457E-03       3.977E-03
  0.600   9.318E-01       1.823E-02       9999.9       8.603E-03       4.166E-03
  0.808   9.658E-01       1.594E-02       9999.9       8.784E-03       3.817E-03
  1.017   9.894E-01       1.528E-02       9999.9       8.672E-03       3.648E-03
  1.225   1.028E+00       1.508E-02       9999.9       8.895E-03       3.611E-03
  1.433   1.052E+00       1.506E-02       9999.9       9.214E-03       4.351E-03
  1.642   1.067E+00       1.440E-02       9999.9       8.411E-03       4.213E-03
  1.850   1.097E+00       1.342E-02       9999.9       8.229E-03       3.654E-03
  2.058   1.124E+00       1.250E-02       9999.9       7.818E-03       3.747E-03
#  
#          "Uh, m/s"       "d, mm"     "h, mm"              
#           8.45            6.0         240.0                
# (z-d)/h  U/Uh          u'2bar/Uh2      v'2bar/Uh2   w'2bar/Uh2      -u'w'bar/Uh2
  0.163   7.471E-01       2.459E-02       9999.9       7.255E-03       5.101E-03
  0.183   7.502E-01       2.557E-02       9999.9       7.336E-03       4.683E-03
  0.225   7.843E-01       2.440E-02       9999.9       8.001E-03       5.025E-03
  0.267   8.129E-01       2.273E-02       9999.9       7.942E-03       4.901E-03
  0.308   8.394E-01       2.204E-02       9999.9       8.111E-03       4.415E-03
  0.350   8.588E-01       2.057E-02       9999.9       8.140E-03       4.616E-03
  0.392   8.719E-01       2.021E-02       9999.9       8.089E-03       4.522E-03
  0.475   8.977E-01       2.027E-02       9999.9       8.457E-03       3.977E-03
  0.600   9.357E-01       1.809E-02       9999.9       8.603E-03       4.166E-03
  0.808   9.696E-01       1.662E-02       9999.9       8.784E-03       3.817E-03
  1.017   1.001E+00       1.681E-02       9999.9       8.672E-03       3.648E-03
  1.225   1.040E+00       1.555E-02       9999.9       8.895E-03       3.611E-03
  1.433   1.067E+00       1.519E-02       9999.9       9.214E-03       4.351E-03
