# File Name: BLST.dat
# Small Tunnel boundary layer at cube location                                    
#
#        "Uh, m/s"       "d, mm"    "h, mm"         
#         3.485           1.5        80              
# (z-d)/h  U/Uh          u'2bar/Uh2      v'2bar/Uh2      w'2bar/Uh2     -u'w'bar/Uh2
  0.082   6.37E-01        2.00E-02        1.12E-02        4.86E-03        3.03E-03
  0.171   7.52E-01        1.85E-02        1.05E-02        4.90E-03        3.21E-03
  0.26    8.06E-01        1.73E-02        1.01E-02        4.84E-03        2.98E-03
  0.35    8.56E-01        1.66E-02        9.75E-03        5.15E-03        3.06E-03
  0.439   8.83E-01        1.54E-02        9.59E-03        5.34E-03        3.23E-03
  0.528   9.09E-01        1.50E-02        9.83E-03        5.32E-03        3.11E-03
  0.617   9.34E-01        1.40E-02        9.19E-03        5.26E-03        2.57E-03
  0.707   9.41E-01        1.26E-02        8.59E-03        5.26E-03        2.63E-03
  0.796   9.66E-01        1.27E-02        8.42E-03        5.39E-03        2.86E-03
  0.885   9.89E-01        1.20E-02        8.34E-03        5.21E-03        2.57E-03
  0.975   9.99E-01        1.23E-02        7.74E-03        5.54E-03        2.84E-03
  1.063   1.02E+00        1.09E-02        7.67E-03        5.01E-03        2.46E-03
  1.153   1.02E+00        1.01E-02        7.38E-03        5.14E-03        2.29E-03
  1.242   1.03E+00        1.03E-02        7.18E-03        5.13E-03        2.44E-03
  1.332   1.05E+00        9.72E-03        6.62E-03        4.66E-03        2.35E-03
  1.394   1.06E+00        9.27E-03        6.47E-03        4.68E-03        2.17E-03
  1.653   1.10E+00        7.84E-03        5.49E-03        4.20E-03        1.93E-03
  1.912   1.12E+00        6.67E-03        4.39E-03        3.74E-03        1.59E-03
  2.171   1.13E+00        5.95E-03        3.55E-03        3.38E-03        1.35E-03
  2.43    1.16E+00        3.43E-03        2.58E-03        2.58E-03        7.37E-04
  2.689   1.17E+00        2.38E-03        2.06E-03        2.07E-03        3.54E-04
  2.948   1.17E+00        1.67E-03        1.54E-03        1.62E-03        1.77E-04
  3.207   1.17E+00        1.21E-03        1.19E-03        1.22E-03        4.89E-05
  3.465   1.17E+00        9.00E-04        8.75E-04        8.06E-04        -8.51E-07
