# Force coefficients
# liftDir     : (-2.397330e-01 9.708389e-01 0.000000e+00)
# dragDir     : (9.708389e-01 2.397330e-01 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 6.180220e+02
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	2.159968e-02	1.408366e-01	1.001073e-02	2.660504e-02	-1.659431e-02
4e-09         	1.765236e-01	2.649748e-01	3.159422e-01	3.344947e-01	-1.855245e-02
8e-09         	3.000358e-01	3.755865e-01	5.703492e-01	5.852104e-01	-1.486116e-02
1.2e-08       	3.227673e-01	4.036586e-01	6.319423e-01	6.387385e-01	-6.796200e-03
1.6e-08       	3.267001e-01	4.200691e-01	6.541823e-01	6.537912e-01	3.910574e-04
2e-08         	3.165951e-01	4.239009e-01	6.432426e-01	6.382164e-01	5.026204e-03
2.4e-08       	2.983662e-01	4.180393e-01	6.108928e-01	6.038126e-01	7.080224e-03
2.8e-08       	2.758262e-01	4.051427e-01	5.659558e-01	5.588041e-01	7.151697e-03
3.2e-08       	2.426084e-01	3.856527e-01	5.015020e-01	4.933594e-01	8.142652e-03
3.6e-08       	2.356115e-01	3.747217e-01	4.843129e-01	4.777680e-01	6.544881e-03
4e-08         	2.319081e-01	3.641307e-01	4.742504e-01	4.690333e-01	5.217123e-03
4.4e-08       	2.317446e-01	3.544474e-01	4.715475e-01	4.675184e-01	4.029156e-03
4.8e-08       	2.335521e-01	3.459614e-01	4.735234e-01	4.703138e-01	3.209632e-03
5.2e-08       	2.362303e-01	3.387005e-01	4.780274e-01	4.752440e-01	2.783348e-03
5.6e-08       	2.388436e-01	3.326410e-01	4.830997e-01	4.803935e-01	2.706188e-03
6e-08         	2.410389e-01	3.276529e-01	4.877351e-01	4.849064e-01	2.828667e-03
6.4e-08       	2.426160e-01	3.233639e-01	4.912647e-01	4.882483e-01	3.016385e-03
6.8e-08       	2.434489e-01	3.195771e-01	4.933425e-01	4.901202e-01	3.222306e-03
7.2e-08       	2.435150e-01	3.161504e-01	4.938527e-01	4.904413e-01	3.411389e-03
7.6e-08       	2.429159e-01	3.130290e-01	4.930076e-01	4.894198e-01	3.587884e-03
8e-08         	2.418921e-01	3.101702e-01	4.912011e-01	4.874927e-01	3.708444e-03
8.4e-08       	2.406992e-01	3.075347e-01	4.889119e-01	4.851552e-01	3.756725e-03
8.8e-08       	2.394734e-01	3.051330e-01	4.865528e-01	4.827498e-01	3.802984e-03
9.2e-08       	2.382903e-01	3.029522e-01	4.843567e-01	4.804687e-01	3.888016e-03
9.6e-08       	2.372411e-01	3.009806e-01	4.824975e-01	4.784898e-01	4.007678e-03
1e-07         	2.363654e-01	2.991895e-01	4.810157e-01	4.768732e-01	4.142467e-03
1.04e-07      	2.356973e-01	2.975805e-01	4.799921e-01	4.756934e-01	4.298739e-03
1.08e-07      	2.352342e-01	2.961439e-01	4.794242e-01	4.749463e-01	4.477891e-03
1.12e-07      	2.349601e-01	2.948776e-01	4.792923e-01	4.746062e-01	4.686050e-03
1.16e-07      	2.348391e-01	2.937674e-01	4.795133e-01	4.745957e-01	4.917590e-03
1.2e-07       	2.348214e-01	2.927759e-01	4.799531e-01	4.747979e-01	5.155193e-03
1.24e-07      	2.348502e-01	2.918619e-01	4.804835e-01	4.750919e-01	5.391558e-03
1.28e-07      	2.348961e-01	2.910052e-01	4.810343e-01	4.754133e-01	5.620995e-03
1.32e-07      	2.349329e-01	2.901860e-01	4.815404e-01	4.757031e-01	5.837321e-03
1.36e-07      	2.349342e-01	2.893879e-01	4.819362e-01	4.759023e-01	6.033889e-03
1.4e-07       	2.348748e-01	2.885914e-01	4.821641e-01	4.759569e-01	6.207244e-03
1.44e-07      	2.347658e-01	2.877857e-01	4.822237e-01	4.758776e-01	6.346074e-03
1.48e-07      	2.346228e-01	2.869778e-01	4.821514e-01	4.756985e-01	6.452835e-03
1.52e-07      	2.344589e-01	2.861753e-01	4.819835e-01	4.754507e-01	6.532777e-03
1.56e-07      	2.342915e-01	2.853918e-01	4.817713e-01	4.751772e-01	6.594124e-03
1.6e-07       	2.341250e-01	2.846396e-01	4.815442e-01	4.748971e-01	6.647105e-03
1.64e-07      	2.339746e-01	2.839303e-01	4.813454e-01	4.746473e-01	6.698101e-03
1.68e-07      	2.338413e-01	2.832672e-01	4.811848e-01	4.744338e-01	6.751079e-03
1.72e-07      	2.337401e-01	2.826548e-01	4.810960e-01	4.742881e-01	6.807863e-03
1.76e-07      	2.336721e-01	2.820956e-01	4.810875e-01	4.742158e-01	6.871666e-03
1.8e-07       	2.336426e-01	2.815899e-01	4.811747e-01	4.742299e-01	6.944787e-03
1.84e-07      	2.336474e-01	2.811376e-01	4.813531e-01	4.743239e-01	7.029141e-03
1.88e-07      	2.336804e-01	2.807317e-01	4.816068e-01	4.744839e-01	7.122964e-03
1.92e-07      	2.337367e-01	2.803657e-01	4.819221e-01	4.746978e-01	7.224351e-03
1.96e-07      	2.338119e-01	2.800346e-01	4.822856e-01	4.749547e-01	7.330904e-03
2e-07         	2.338917e-01	2.797258e-01	4.826605e-01	4.752219e-01	7.438571e-03
