# Force coefficients
# liftDir     : (-2.397330e-01 9.708389e-01 0.000000e+00)
# dragDir     : (9.708389e-01 2.397330e-01 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 6.180220e+02
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
2e-07         	2.403599e-01	2.701007e-01	4.914265e-01	4.860732e-01	5.353298e-03
2.4e-07       	2.236975e-01	2.628280e-01	4.613610e-01	4.543780e-01	6.982992e-03
2.8e-07       	2.284060e-01	2.695896e-01	4.736328e-01	4.652224e-01	8.410355e-03
3.2e-07       	2.376275e-01	2.802372e-01	4.942515e-01	4.847532e-01	9.498298e-03
3.6e-07       	2.460109e-01	2.909052e-01	5.127547e-01	5.023883e-01	1.036642e-02
4e-07         	2.545507e-01	2.994865e-01	5.309442e-01	5.200228e-01	1.092136e-02
4.4e-07       	2.629749e-01	3.046101e-01	5.480759e-01	5.370129e-01	1.106305e-02
4.8e-07       	2.698158e-01	3.064299e-01	5.612293e-01	5.504305e-01	1.079882e-02
5.2e-07       	2.746572e-01	3.060455e-01	5.698099e-01	5.595622e-01	1.024772e-02
5.6e-07       	2.777499e-01	3.044979e-01	5.746826e-01	5.650912e-01	9.591394e-03
6e-07         	2.794984e-01	3.025567e-01	5.769339e-01	5.679654e-01	8.968488e-03
6.4e-07       	2.804452e-01	3.007467e-01	5.779159e-01	5.694032e-01	8.512714e-03
6.8e-07       	2.810244e-01	2.993534e-01	5.786105e-01	5.703297e-01	8.280808e-03
7.2e-07       	2.813960e-01	2.983635e-01	5.792330e-01	5.710126e-01	8.220461e-03
7.6e-07       	2.815622e-01	2.976410e-01	5.796161e-01	5.713702e-01	8.245855e-03
8e-07         	2.815436e-01	2.970431e-01	5.796733e-01	5.713803e-01	8.293054e-03
8.4e-07       	2.814005e-01	2.964854e-01	5.794448e-01	5.711229e-01	8.321890e-03
8.8e-07       	2.811849e-01	2.959069e-01	5.789910e-01	5.706804e-01	8.310556e-03
9.2e-07       	2.809333e-01	2.952923e-01	5.783732e-01	5.701199e-01	8.253279e-03
9.6e-07       	2.806939e-01	2.946591e-01	5.777188e-01	5.695533e-01	8.165466e-03
1e-06         	2.805093e-01	2.940358e-01	5.771389e-01	5.690788e-01	8.060135e-03
1.04e-06      	2.804114e-01	2.934382e-01	5.767185e-01	5.687706e-01	7.947899e-03
1.08e-06      	2.804101e-01	2.928998e-01	5.764872e-01	5.686536e-01	7.833521e-03
1.12e-06      	2.804911e-01	2.924257e-01	5.764448e-01	5.687135e-01	7.731253e-03
1.16e-06      	2.806212e-01	2.920053e-01	5.765313e-01	5.688869e-01	7.644385e-03
1.2e-06       	2.807541e-01	2.916217e-01	5.766658e-01	5.690870e-01	7.578768e-03
1.24e-06      	2.808620e-01	2.912641e-01	5.767900e-01	5.692570e-01	7.533021e-03
1.28e-06      	2.809261e-01	2.909192e-01	5.768601e-01	5.693562e-01	7.503975e-03
1.32e-06      	2.809567e-01	2.905016e-01	5.769286e-01	5.694210e-01	7.507597e-03
1.36e-06      	2.809394e-01	2.901152e-01	5.769142e-01	5.693965e-01	7.517681e-03
1.4e-06       	2.808125e-01	2.898657e-01	5.767003e-01	5.691626e-01	7.537709e-03
1.44e-06      	2.807290e-01	2.895651e-01	5.766333e-01	5.690456e-01	7.587683e-03
1.48e-06      	2.806424e-01	2.892870e-01	5.765577e-01	5.689212e-01	7.636428e-03
1.52e-06      	2.804246e-01	2.891135e-01	5.762634e-01	5.685563e-01	7.707144e-03
1.56e-06      	2.803217e-01	2.888027e-01	5.761785e-01	5.684110e-01	7.767478e-03
1.6e-06       	2.802245e-01	2.884446e-01	5.760752e-01	5.682621e-01	7.813065e-03
1.64e-06      	2.799997e-01	2.880773e-01	5.757292e-01	5.678643e-01	7.864897e-03
1.68e-06      	2.798964e-01	2.876078e-01	5.755691e-01	5.676810e-01	7.888107e-03
1.72e-06      	2.797947e-01	2.870613e-01	5.753460e-01	5.674678e-01	7.878263e-03
1.76e-06      	2.795520e-01	2.863703e-01	5.747682e-01	5.669361e-01	7.832060e-03
1.8e-06       	2.794325e-01	2.856932e-01	5.744130e-01	5.666390e-01	7.773992e-03
1.84e-06      	2.793080e-01	2.849546e-01	5.739694e-01	5.662927e-01	7.676724e-03
1.88e-06      	2.791520e-01	2.841806e-01	5.734102e-01	5.658572e-01	7.553082e-03
1.92e-06      	2.789602e-01	2.833878e-01	5.727388e-01	5.653296e-01	7.409227e-03
1.96e-06      	2.787375e-01	2.825984e-01	5.719774e-01	5.647262e-01	7.251214e-03
2e-06         	2.784881e-01	2.818182e-01	5.711458e-01	5.640610e-01	7.084788e-03
2.04e-06      	2.782080e-01	2.810535e-01	5.702383e-01	5.633272e-01	6.911157e-03
2.08e-06      	2.778954e-01	2.803113e-01	5.692632e-01	5.625270e-01	6.736234e-03
2.12e-06      	2.772925e-01	2.793593e-01	5.675344e-01	5.610596e-01	6.474722e-03
2.16e-06      	2.769343e-01	2.786923e-01	5.665101e-01	5.601894e-01	6.320780e-03
2.2e-06       	2.765471e-01	2.780605e-01	5.654326e-01	5.592634e-01	6.169197e-03
2.24e-06      	2.760892e-01	2.774519e-01	5.642457e-01	5.582121e-01	6.033633e-03
2.28e-06      	2.755675e-01	2.768764e-01	5.629863e-01	5.570607e-01	5.925606e-03
2.32e-06      	2.750033e-01	2.763364e-01	5.616923e-01	5.558494e-01	5.842871e-03
2.36e-06      	2.740077e-01	2.756456e-01	5.595074e-01	5.537614e-01	5.746039e-03
2.4e-06       	2.734716e-01	2.751860e-01	5.583649e-01	5.526541e-01	5.710858e-03
2.44e-06      	2.729686e-01	2.747534e-01	5.572953e-01	5.516162e-01	5.679060e-03
2.48e-06      	2.724464e-01	2.743212e-01	5.562038e-01	5.505483e-01	5.655558e-03
2.52e-06      	2.719156e-01	2.739098e-01	5.551297e-01	5.494804e-01	5.649252e-03
2.56e-06      	2.713959e-01	2.735287e-01	5.541077e-01	5.484497e-01	5.657988e-03
2.6e-06       	2.708987e-01	2.731778e-01	5.531517e-01	5.474745e-01	5.677157e-03
2.64e-06      	2.704259e-01	2.728496e-01	5.522623e-01	5.465570e-01	5.705301e-03
2.68e-06      	2.699745e-01	2.725411e-01	5.514346e-01	5.456918e-01	5.742825e-03
2.72e-06      	2.695385e-01	2.722446e-01	5.506540e-01	5.448655e-01	5.788493e-03
2.76e-06      	2.691111e-01	2.719541e-01	5.499063e-01	5.440643e-01	5.842051e-03
2.8e-06       	2.686850e-01	2.716697e-01	5.491796e-01	5.432748e-01	5.904745e-03
2.84e-06      	2.682519e-01	2.713912e-01	5.484552e-01	5.424795e-01	5.975674e-03
2.88e-06      	2.678044e-01	2.711213e-01	5.477196e-01	5.416642e-01	6.055417e-03
2.92e-06      	2.673374e-01	2.708627e-01	5.469628e-01	5.408188e-01	6.143944e-03
2.96e-06      	2.668486e-01	2.706135e-01	5.461841e-01	5.399406e-01	6.243468e-03
3e-06         	2.659216e-01	2.702615e-01	5.447004e-01	5.382718e-01	6.428587e-03
3.04e-06      	2.653946e-01	2.700087e-01	5.439172e-01	5.373532e-01	6.563972e-03
3.08e-06      	2.649173e-01	2.697554e-01	5.431973e-01	5.365159e-01	6.681348e-03
3.12e-06      	2.644147e-01	2.694725e-01	5.424232e-01	5.356263e-01	6.796875e-03
3.16e-06      	2.638632e-01	2.691455e-01	5.415610e-01	5.346437e-01	6.917305e-03
3.2e-06       	2.632718e-01	2.687894e-01	5.406406e-01	5.335921e-01	7.048491e-03
3.24e-06      	2.626571e-01	2.684196e-01	5.396905e-01	5.325023e-01	7.188162e-03
3.28e-06      	2.620319e-01	2.680497e-01	5.387322e-01	5.313980e-01	7.334229e-03
3.32e-06      	2.614051e-01	2.676777e-01	5.377742e-01	5.302922e-01	7.482000e-03
3.36e-06      	2.607845e-01	2.673091e-01	5.368267e-01	5.291978e-01	7.628878e-03
3.4e-06       	2.601751e-01	2.669411e-01	5.358940e-01	5.281221e-01	7.771859e-03
3.44e-06      	2.595819e-01	2.665709e-01	5.349842e-01	5.270740e-01	7.910179e-03
3.48e-06      	2.590082e-01	2.661924e-01	5.341013e-01	5.260589e-01	8.042490e-03
3.52e-06      	2.584578e-01	2.658046e-01	5.332561e-01	5.250858e-01	8.170295e-03
3.56e-06      	2.579303e-01	2.654084e-01	5.324459e-01	5.241532e-01	8.292668e-03
3.6e-06       	2.574244e-01	2.649991e-01	5.316669e-01	5.232579e-01	8.409006e-03
3.64e-06      	2.569388e-01	2.645820e-01	5.309151e-01	5.223963e-01	8.518794e-03
3.68e-06      	2.564738e-01	2.641638e-01	5.301941e-01	5.215709e-01	8.623183e-03
3.72e-06      	2.560292e-01	2.637511e-01	5.295053e-01	5.207819e-01	8.723440e-03
3.76e-06      	2.556039e-01	2.633457e-01	5.288492e-01	5.200285e-01	8.820683e-03
3.8e-06       	2.551955e-01	2.629492e-01	5.282186e-01	5.193048e-01	8.913806e-03
3.84e-06      	2.548012e-01	2.625632e-01	5.276131e-01	5.186077e-01	9.005341e-03
3.88e-06      	2.544180e-01	2.621855e-01	5.270272e-01	5.179316e-01	9.095665e-03
3.92e-06      	2.540433e-01	2.618146e-01	5.264590e-01	5.172727e-01	9.186221e-03
3.96e-06      	2.536754e-01	2.614477e-01	5.259031e-01	5.166269e-01	9.276179e-03
4e-06         	2.533120e-01	2.610803e-01	5.253549e-01	5.159894e-01	9.365473e-03
4.04e-06      	2.529526e-01	2.607140e-01	5.248146e-01	5.153599e-01	9.454691e-03
4.08e-06      	2.525968e-01	2.603486e-01	5.242818e-01	5.147377e-01	9.544092e-03
4.12e-06      	2.522452e-01	2.599880e-01	5.237577e-01	5.141240e-01	9.633696e-03
4.16e-06      	2.518983e-01	2.596341e-01	5.232468e-01	5.135217e-01	9.725094e-03
4.2e-06       	2.515584e-01	2.592875e-01	5.227483e-01	5.129326e-01	9.815746e-03
4.24e-06      	2.512273e-01	2.589502e-01	5.222669e-01	5.123608e-01	9.906088e-03
4.28e-06      	2.509073e-01	2.586237e-01	5.218040e-01	5.118093e-01	9.994681e-03
4.32e-06      	2.506005e-01	2.583067e-01	5.213611e-01	5.112810e-01	1.008003e-02
4.36e-06      	2.503087e-01	2.580012e-01	5.209401e-01	5.107788e-01	1.016136e-02
4.4e-06       	2.500333e-01	2.577034e-01	5.205408e-01	5.103037e-01	1.023713e-02
4.44e-06      	2.497753e-01	2.574143e-01	5.201656e-01	5.098581e-01	1.030745e-02
4.48e-06      	2.495351e-01	2.571323e-01	5.198146e-01	5.094424e-01	1.037227e-02
4.52e-06      	2.490519e-01	2.567220e-01	5.190738e-01	5.085888e-01	1.048498e-02
4.56e-06      	2.488535e-01	2.564717e-01	5.188443e-01	5.082757e-01	1.056865e-02
4.6e-06       	2.487278e-01	2.562243e-01	5.186749e-01	5.080652e-01	1.060965e-02
4.64e-06      	2.486188e-01	2.559552e-01	5.184875e-01	5.078626e-01	1.062494e-02
4.68e-06      	2.485020e-01	2.556699e-01	5.182732e-01	5.076386e-01	1.063464e-02
4.72e-06      	2.483751e-01	2.553766e-01	5.180400e-01	5.073950e-01	1.064493e-02
4.76e-06      	2.482415e-01	2.550825e-01	5.177924e-01	5.071377e-01	1.065464e-02
4.8e-06       	2.481040e-01	2.547927e-01	5.175319e-01	5.068699e-01	1.066200e-02
4.84e-06      	2.479639e-01	2.545094e-01	5.172595e-01	5.065937e-01	1.066582e-02
4.88e-06      	2.478214e-01	2.542327e-01	5.169735e-01	5.063082e-01	1.066532e-02
4.92e-06      	2.476765e-01	2.539635e-01	5.166757e-01	5.060143e-01	1.066138e-02
4.96e-06      	2.475295e-01	2.537006e-01	5.163673e-01	5.057132e-01	1.065413e-02
5e-06         	2.473810e-01	2.534426e-01	5.160478e-01	5.054048e-01	1.064294e-02
5.04e-06      	2.472324e-01	2.531894e-01	5.157227e-01	5.050937e-01	1.062902e-02
5.08e-06      	2.470848e-01	2.529391e-01	5.153947e-01	5.047821e-01	1.061261e-02
5.12e-06      	2.469398e-01	2.526915e-01	5.150682e-01	5.044739e-01	1.059425e-02
5.16e-06      	2.467982e-01	2.524459e-01	5.147445e-01	5.041704e-01	1.057408e-02
5.2e-06       	2.466614e-01	2.522012e-01	5.144277e-01	5.038753e-01	1.055242e-02
5.24e-06      	2.465300e-01	2.519572e-01	5.141187e-01	5.035893e-01	1.052936e-02
5.28e-06      	2.464051e-01	2.517145e-01	5.138205e-01	5.033154e-01	1.050517e-02
5.32e-06      	2.462876e-01	2.514758e-01	5.135358e-01	5.030555e-01	1.048033e-02
5.36e-06      	2.461772e-01	2.512399e-01	5.132613e-01	5.028079e-01	1.045344e-02
5.4e-06       	2.460742e-01	2.510097e-01	5.129993e-01	5.025738e-01	1.042544e-02
5.44e-06      	2.459781e-01	2.507847e-01	5.127473e-01	5.023518e-01	1.039552e-02
5.48e-06      	2.458885e-01	2.505664e-01	5.125055e-01	5.021413e-01	1.036425e-02
5.52e-06      	2.458048e-01	2.503556e-01	5.122740e-01	5.019418e-01	1.033226e-02
5.56e-06      	2.457258e-01	2.501518e-01	5.120507e-01	5.017511e-01	1.029958e-02
5.6e-06       	2.456508e-01	2.499550e-01	5.118366e-01	5.015691e-01	1.026752e-02
5.64e-06      	2.455785e-01	2.497627e-01	5.116288e-01	5.013929e-01	1.023588e-02
5.68e-06      	2.455084e-01	2.495738e-01	5.114266e-01	5.012216e-01	1.020494e-02
5.72e-06      	2.454390e-01	2.493870e-01	5.112274e-01	5.010527e-01	1.017468e-02
5.76e-06      	2.453697e-01	2.492021e-01	5.110306e-01	5.008850e-01	1.014560e-02
5.8e-06       	2.452997e-01	2.490204e-01	5.108356e-01	5.007175e-01	1.011807e-02
5.84e-06      	2.452284e-01	2.488418e-01	5.106419e-01	5.005493e-01	1.009259e-02
5.88e-06      	2.451557e-01	2.486675e-01	5.104505e-01	5.003809e-01	1.006955e-02
5.92e-06      	2.450814e-01	2.484962e-01	5.102610e-01	5.002119e-01	1.004906e-02
5.96e-06      	2.450054e-01	2.483267e-01	5.100724e-01	5.000416e-01	1.003076e-02
6e-06         	2.449281e-01	2.481601e-01	5.098848e-01	4.998705e-01	1.001428e-02
6.04e-06      	2.448498e-01	2.479968e-01	5.096991e-01	4.996994e-01	9.999757e-03
6.08e-06      	2.447706e-01	2.478377e-01	5.095144e-01	4.995277e-01	9.986614e-03
6.12e-06      	2.446900e-01	2.476841e-01	5.093307e-01	4.993553e-01	9.975359e-03
6.16e-06      	2.446076e-01	2.475367e-01	5.091471e-01	4.991811e-01	9.965948e-03
6.2e-06       	2.445230e-01	2.473955e-01	5.089636e-01	4.990048e-01	9.958815e-03
6.24e-06      	2.444357e-01	2.472594e-01	5.087774e-01	4.988244e-01	9.953037e-03
6.28e-06      	2.443457e-01	2.471278e-01	5.085877e-01	4.986396e-01	9.948103e-03
6.32e-06      	2.442532e-01	2.469999e-01	5.083921e-01	4.984492e-01	9.942900e-03
6.36e-06      	2.441585e-01	2.468760e-01	5.081924e-01	4.982547e-01	9.937667e-03
6.4e-06       	2.440623e-01	2.467560e-01	5.079885e-01	4.980566e-01	9.931891e-03
6.44e-06      	2.439652e-01	2.466403e-01	5.077826e-01	4.978565e-01	9.926111e-03
6.48e-06      	2.438675e-01	2.465288e-01	5.075756e-01	4.976553e-01	9.920332e-03
6.52e-06      	2.437697e-01	2.464209e-01	5.073683e-01	4.974538e-01	9.914465e-03
6.56e-06      	2.436720e-01	2.463151e-01	5.071594e-01	4.972517e-01	9.907771e-03
6.6e-06       	2.435748e-01	2.462108e-01	5.069496e-01	4.970496e-01	9.899982e-03
6.64e-06      	2.434787e-01	2.461077e-01	5.067392e-01	4.968483e-01	9.890897e-03
6.68e-06      	2.433840e-01	2.460058e-01	5.065299e-01	4.966490e-01	9.880908e-03
6.72e-06      	2.432918e-01	2.459065e-01	5.063241e-01	4.964539e-01	9.870269e-03
6.76e-06      	2.432025e-01	2.458091e-01	5.061222e-01	4.962636e-01	9.858605e-03
6.8e-06       	2.431174e-01	2.457146e-01	5.059271e-01	4.960809e-01	9.846185e-03
6.84e-06      	2.430366e-01	2.456221e-01	5.057379e-01	4.959056e-01	9.832344e-03
6.88e-06      	2.429613e-01	2.455321e-01	5.055580e-01	4.957404e-01	9.817667e-03
6.92e-06      	2.428918e-01	2.454446e-01	5.053877e-01	4.955857e-01	9.802017e-03
6.96e-06      	2.428287e-01	2.453598e-01	5.052283e-01	4.954428e-01	9.785500e-03
7e-06         	2.427719e-01	2.452768e-01	5.050802e-01	4.953120e-01	9.768163e-03
7.04e-06      	2.427217e-01	2.451959e-01	5.049441e-01	4.951937e-01	9.750388e-03
7.08e-06      	2.426780e-01	2.451178e-01	5.048197e-01	4.950878e-01	9.731882e-03
7.12e-06      	2.426401e-01	2.450412e-01	5.047058e-01	4.949930e-01	9.712754e-03
7.16e-06      	2.426079e-01	2.449681e-01	5.046019e-01	4.949089e-01	9.693037e-03
7.2e-06       	2.425807e-01	2.448973e-01	5.045075e-01	4.948344e-01	9.673081e-03
7.24e-06      	2.425581e-01	2.448291e-01	5.044207e-01	4.947685e-01	9.652214e-03
7.28e-06      	2.425400e-01	2.447630e-01	5.043418e-01	4.947109e-01	9.630892e-03
7.32e-06      	2.425262e-01	2.446995e-01	5.042702e-01	4.946612e-01	9.608921e-03
7.36e-06      	2.425164e-01	2.446377e-01	5.042058e-01	4.946193e-01	9.586490e-03
7.4e-06       	2.425103e-01	2.445785e-01	5.041492e-01	4.945849e-01	9.564269e-03
7.44e-06      	2.425072e-01	2.445199e-01	5.040974e-01	4.945559e-01	9.541513e-03
7.48e-06      	2.425065e-01	2.444634e-01	5.040511e-01	4.945320e-01	9.519041e-03
7.52e-06      	2.425079e-01	2.444075e-01	5.040083e-01	4.945120e-01	9.496277e-03
7.56e-06      	2.425112e-01	2.443539e-01	5.039707e-01	4.944966e-01	9.474100e-03
7.6e-06       	2.425163e-01	2.443014e-01	5.039372e-01	4.944849e-01	9.452272e-03
7.64e-06      	2.425233e-01	2.442507e-01	5.039094e-01	4.944780e-01	9.431442e-03
7.68e-06      	2.425323e-01	2.442015e-01	5.038875e-01	4.944761e-01	9.411398e-03
7.72e-06      	2.425435e-01	2.441544e-01	5.038717e-01	4.944794e-01	9.392358e-03
7.76e-06      	2.425567e-01	2.441088e-01	5.038619e-01	4.944877e-01	9.374197e-03
7.8e-06       	2.425718e-01	2.440653e-01	5.038580e-01	4.945008e-01	9.357210e-03
7.84e-06      	2.425891e-01	2.440236e-01	5.038604e-01	4.945193e-01	9.341100e-03
7.88e-06      	2.426082e-01	2.439844e-01	5.038690e-01	4.945427e-01	9.326274e-03
7.92e-06      	2.426291e-01	2.439480e-01	5.038835e-01	4.945709e-01	9.312639e-03
7.96e-06      	2.426513e-01	2.439137e-01	5.039031e-01	4.946029e-01	9.300199e-03
8e-06         	2.426748e-01	2.438815e-01	5.039276e-01	4.946386e-01	9.289026e-03
8.04e-06      	2.426990e-01	2.438513e-01	5.039559e-01	4.946769e-01	9.278971e-03
8.08e-06      	2.427235e-01	2.438222e-01	5.039870e-01	4.947170e-01	9.270037e-03
8.12e-06      	2.427479e-01	2.437944e-01	5.040194e-01	4.947576e-01	9.261831e-03
8.16e-06      	2.427714e-01	2.437681e-01	5.040520e-01	4.947974e-01	9.254573e-03
8.2e-06       	2.427934e-01	2.437427e-01	5.040830e-01	4.948349e-01	9.248103e-03
8.24e-06      	2.428135e-01	2.437186e-01	5.041118e-01	4.948694e-01	9.242408e-03
