# Residuals     
# Time          	p               	Ux              	Uz              	e               	k               	omega           
0               	N/A             	N/A             	N/A             	N/A             	N/A             	N/A             
2e-05           	1.00000000e+00	9.99999996e-01	1.00000000e+00	9.99999993e-01	1.00000000e+00	1.40948662e-04
4e-05           	3.51031751e-02	7.58453380e-03	3.45033109e-01	4.18943213e-02	2.26276867e-02	1.66819414e-04
6e-05           	1.37533965e-02	4.57570112e-03	2.12549615e-01	1.49873007e-02	1.29824050e-02	1.88461060e-04
8e-05           	8.76707927e-03	3.57096296e-03	1.47618767e-01	1.03587778e-02	9.62896934e-03	1.89871444e-04
0.0001          	6.91841359e-03	3.22153543e-03	1.15924278e-01	8.21886071e-03	7.98133949e-03	2.02379301e-04
0.00012         	6.00398795e-03	3.05624597e-03	9.49771521e-02	7.14986883e-03	6.99976295e-03	2.16772112e-04
0.00014         	5.41667766e-03	2.96801620e-03	8.05963866e-02	6.54541706e-03	6.36241519e-03	2.29601509e-04
0.00016         	5.07328434e-03	2.92446725e-03	7.02924087e-02	6.18501503e-03	5.91596928e-03	2.43373423e-04
0.00018         	4.85638002e-03	2.90562291e-03	6.24950520e-02	5.96634015e-03	5.57283561e-03	2.58021443e-04
0.0002          	4.73089172e-03	2.90089261e-03	5.63798768e-02	5.83142429e-03	5.30730373e-03	2.73483060e-04
0.00022         	4.65958901e-03	2.90435019e-03	5.14644331e-02	5.76325532e-03	5.08847359e-03	2.89878091e-04
0.00024         	4.62107083e-03	2.91458799e-03	4.73990828e-02	5.73698575e-03	4.90424614e-03	3.07675922e-04
0.00026         	4.60759010e-03	2.93076494e-03	4.40040710e-02	5.74328605e-03	4.74884810e-03	3.26688950e-04
0.00028         	4.61355627e-03	2.95097503e-03	4.11019740e-02	5.77211436e-03	4.61320029e-03	3.44030286e-04
0.0003          	4.63738850e-03	2.97319497e-03	3.85974976e-02	5.81921756e-03	4.48983640e-03	3.54000082e-04
0.00032         	4.67255096e-03	2.99683509e-03	3.64194895e-02	5.88326199e-03	4.37644961e-03	3.55828058e-04
0.00034         	4.71889513e-03	3.02384907e-03	3.45038813e-02	5.95680661e-03	4.27195270e-03	3.52603998e-04
0.00036         	4.77499574e-03	3.05047545e-03	3.28031378e-02	6.04296556e-03	4.17628166e-03	3.47192285e-04
0.00038         	4.83618531e-03	3.07899970e-03	3.12832470e-02	6.13385023e-03	4.08394470e-03	3.41361708e-04
0.0004          	4.90231895e-03	3.11123530e-03	2.99195164e-02	6.23815720e-03	3.99510893e-03	3.35731389e-04
0.00042         	4.97886177e-03	3.14093028e-03	2.86937877e-02	6.34899101e-03	3.91092624e-03	3.30637108e-04
0.00044         	5.05739041e-03	3.17243559e-03	2.75842288e-02	6.46307930e-03	3.83012370e-03	3.25267738e-04
0.00046         	5.13559477e-03	3.20615568e-03	2.65714228e-02	6.58810607e-03	3.75151563e-03	3.19049277e-04
0.00048         	5.22385446e-03	3.23998773e-03	2.56481582e-02	6.71128736e-03	3.67728821e-03	3.12969788e-04
0.0005          	5.31452314e-03	3.27551133e-03	2.48011442e-02	6.83770346e-03	3.60495530e-03	3.07334666e-04
0.00052         	5.41115353e-03	3.31185227e-03	2.40148137e-02	6.98210516e-03	3.53603897e-03	3.02025678e-04
0.00054         	5.50370970e-03	3.34540036e-03	2.32961403e-02	7.11812842e-03	3.46814507e-03	2.96985269e-04
0.00056         	5.60859279e-03	3.38418481e-03	2.26398166e-02	7.26201862e-03	3.40480289e-03	2.92130416e-04
0.00058         	5.71090462e-03	3.42026849e-03	2.20160323e-02	7.40591138e-03	3.34157331e-03	2.87465795e-04
0.0006          	5.81105199e-03	3.46107746e-03	2.14359834e-02	7.56056903e-03	3.27899677e-03	2.82989473e-04
0.00062         	5.92269691e-03	3.49947657e-03	2.09138709e-02	7.70347313e-03	3.22030351e-03	2.78655180e-04
0.00064         	6.02781603e-03	3.54227712e-03	2.04041951e-02	7.86548491e-03	3.16315964e-03	2.74499192e-04
0.00066         	6.13959820e-03	3.58151897e-03	1.99375593e-02	8.01477445e-03	3.10491960e-03	2.70487474e-04
0.00068         	6.25330673e-03	3.62637869e-03	1.95061648e-02	8.17403696e-03	3.05218193e-03	2.66609532e-04
0.0007          	6.36169859e-03	3.66729991e-03	1.90813726e-02	8.33094296e-03	2.99629245e-03	2.62964270e-04
0.00072         	6.48180568e-03	3.71173820e-03	1.87091696e-02	8.48675453e-03	2.94730211e-03	2.59457281e-04
0.00074         	6.58892403e-03	3.75652479e-03	1.83256361e-02	8.65096986e-03	2.89447228e-03	2.56086872e-04
0.00076         	6.71344798e-03	3.80001007e-03	1.80021314e-02	8.80172969e-03	2.84750514e-03	2.52702584e-04
0.00078         	6.82521015e-03	3.84661309e-03	1.76574507e-02	8.97281996e-03	2.80033695e-03	2.49486075e-04
0.0008          	6.94824745e-03	3.89101532e-03	1.73685168e-02	9.11943232e-03	2.75485340e-03	2.46363488e-04
