# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1.82815e-07    1.002110e-05 -1.081421e-08 -9.812256e-23 9.605062e-06 -1.041837e-08 -1.282300e-22 4.160365e-07 -3.958356e-10 3.010739e-23
3.44332e-07    7.171835e-06 5.626691e-09 -1.010065e-22 6.775865e-06 6.172542e-09 -1.284743e-22 3.959694e-07 -5.458513e-10 2.746775e-23
4.89602e-07    4.640976e-06 -5.977911e-09 -1.059801e-22 4.257977e-06 -5.642339e-09 -1.287237e-22 3.829987e-07 -3.355723e-10 2.274364e-23
6.25175e-07    2.955227e-06 4.747743e-09 -1.070390e-22 2.589646e-06 5.161282e-09 -1.288753e-22 3.655815e-07 -4.135388e-10 2.183632e-23
7.5576e-07     1.794966e-06 3.597405e-09 -1.075382e-22 1.449952e-06 4.030475e-09 -1.289743e-22 3.450144e-07 -4.330701e-10 2.143607e-23
8.84314e-07    1.062595e-06 2.394711e-09 -1.067690e-22 7.393529e-07 2.850232e-09 -1.290295e-22 3.232422e-07 -4.555214e-10 2.226043e-23
1.0132e-06     6.241484e-07 5.312889e-09 -1.065297e-22 3.219943e-07 5.585698e-09 -1.290743e-22 3.021541e-07 -2.728093e-10 2.254460e-23
1.14311e-06    3.324111e-07 -8.365827e-09 -1.059859e-22 5.013222e-08 -7.949173e-09 -1.290904e-22 2.822789e-07 -4.166542e-10 2.310453e-23
1.27474e-06    2.254017e-07 3.206332e-09 -1.075590e-22 -3.892876e-08 3.670456e-09 -1.291163e-22 2.643304e-07 -4.641245e-10 2.155731e-23
1.40744e-06    1.389669e-07 3.863758e-09 -1.056032e-22 -1.096375e-07 4.185054e-09 -1.291410e-22 2.486044e-07 -3.212959e-10 2.353777e-23
1.54194e-06    1.284846e-07 -3.181630e-09 -1.053268e-22 -1.063236e-07 -2.903043e-09 -1.291232e-22 2.348082e-07 -2.785873e-10 2.379642e-23
1.6785e-06     1.337173e-07 -2.689739e-09 -1.061103e-22 -8.877916e-08 -2.441748e-09 -1.291214e-22 2.224965e-07 -2.479912e-10 2.301105e-23
