# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1.82815e-07    8.519973e-14 7.895122e-11 -1.262285e-13 8.208114e-14 7.567348e-11 1.053062e-17 3.118591e-15 3.277744e-12 -1.262391e-13
3.44332e-07    -4.432989e-14 5.650330e-11 -1.171549e-13 -4.863038e-14 5.338365e-11 4.664892e-18 4.300490e-15 3.119645e-12 -1.171595e-13
4.89602e-07    4.709697e-14 3.656393e-11 -1.042462e-13 4.445317e-14 3.354647e-11 4.381038e-18 2.643806e-15 3.017455e-12 -1.042506e-13
6.25175e-07    -3.740509e-14 2.328276e-11 -9.711025e-14 -4.066316e-14 2.040252e-11 2.082666e-18 3.258066e-15 2.880234e-12 -9.711233e-14
7.5576e-07     -2.834215e-14 1.414164e-11 -9.093473e-14 -3.175410e-14 1.142344e-11 4.126275e-19 3.411943e-15 2.718196e-12 -9.093514e-14
8.84314e-07    -1.886673e-14 8.371656e-12 -8.489877e-14 -2.245556e-14 5.824992e-12 1.856580e-19 3.588825e-15 2.546664e-12 -8.489895e-14
1.0132e-06     -4.185760e-14 4.917353e-12 -7.722681e-14 -4.400692e-14 2.536832e-12 -2.459725e-18 2.149328e-15 2.380521e-12 -7.722435e-14
1.14311e-06    6.591017e-14 2.618901e-12 -7.080442e-14 6.262756e-14 3.949667e-13 3.336161e-19 3.282610e-15 2.223934e-12 -7.080475e-14
1.27474e-06    -2.526109e-14 1.775827e-12 -6.582732e-14 -2.891769e-14 -3.067002e-13 4.241908e-19 3.656605e-15 2.082527e-12 -6.582775e-14
1.40744e-06    -3.044062e-14 1.094850e-12 -6.136386e-14 -3.297195e-14 -8.637793e-13 -1.945357e-18 2.531330e-15 1.958630e-12 -6.136191e-14
1.54194e-06    2.506647e-14 1.012266e-12 -5.785540e-14 2.287162e-14 -8.376704e-13 -7.974595e-19 2.194850e-15 1.849936e-12 -5.785460e-14
1.6785e-06     2.119111e-14 1.053492e-12 -5.257397e-14 1.923731e-14 -6.994466e-13 -8.739528e-19 1.953798e-15 1.752938e-12 -5.257310e-14
1.81698e-06    2.391102e-14 1.329132e-12 -4.868971e-14 2.213917e-14 -3.376813e-13 -8.037045e-19 1.771845e-15 1.666814e-12 -4.868891e-14
1.95764e-06    -1.766711e-14 1.634034e-12 -4.715029e-14 -1.949390e-14 4.388359e-14 3.068829e-19 1.826795e-15 1.590150e-12 -4.715059e-14
2.09953e-06    3.006344e-14 1.740022e-12 -4.329926e-14 2.830683e-14 2.195593e-13 -1.444052e-18 1.756608e-15 1.520463e-12 -4.329781e-14
2.24287e-06    -2.909258e-14 2.022007e-12 -4.075897e-14 -3.007523e-14 5.632765e-13 -1.051354e-18 9.826464e-16 1.458730e-12 -4.075792e-14
2.38769e-06    -2.313594e-14 2.108090e-12 -3.859860e-14 -2.392168e-14 7.060124e-13 -5.204095e-19 7.857427e-16 1.402077e-12 -3.859808e-14
2.5347e-06     6.617625e-14 2.196987e-12 -3.581514e-14 6.493317e-14 8.465691e-13 -7.873518e-19 1.243078e-15 1.350418e-12 -3.581435e-14
2.6835e-06     -6.414299e-15 2.265476e-12 -3.401762e-14 -7.391825e-15 9.618906e-13 -7.801544e-19 9.775258e-16 1.303585e-12 -3.401684e-14
2.83253e-06    -2.662389e-14 2.252600e-12 -3.237820e-14 -2.714026e-14 9.915028e-13 -6.503242e-19 5.163737e-16 1.261097e-12 -3.237755e-14
2.98225e-06    -1.586477e-14 2.251599e-12 -3.121162e-14 -1.612165e-14 1.029149e-12 -4.343413e-19 2.568862e-16 1.222450e-12 -3.121118e-14
3.13197e-06    -2.331521e-14 2.207185e-12 -2.997532e-14 -2.315649e-14 1.020364e-12 -6.635114e-19 -1.587141e-16 1.186821e-12 -2.997466e-14
3.28215e-06    -8.017364e-15 2.173739e-12 -2.831241e-14 -7.810583e-15 1.019532e-12 -3.309278e-19 -2.067815e-16 1.154207e-12 -2.831207e-14
3.43327e-06    3.937661e-14 2.171288e-12 -2.647876e-14 3.908119e-14 1.046868e-12 2.252602e-19 2.954128e-16 1.124421e-12 -2.647899e-14
3.58416e-06    -1.550858e-14 2.128835e-12 -2.571228e-14 -1.586794e-14 1.031917e-12 1.283390e-20 3.593574e-16 1.096918e-12 -2.571229e-14
3.73599e-06    1.551889e-14 2.125130e-12 -2.433496e-14 1.501836e-14 1.053433e-12 -6.318434e-19 5.005341e-16 1.071698e-12 -2.433432e-14
3.88807e-06    -6.128451e-15 2.111977e-12 -2.384428e-14 -6.807042e-15 1.063506e-12 -5.887768e-19 6.785914e-16 1.048471e-12 -2.384370e-14
4.04063e-06    -2.159746e-14 2.083249e-12 -2.358663e-14 -2.211280e-14 1.056457e-12 -5.441386e-19 5.153359e-16 1.026792e-12 -2.358609e-14
4.19367e-06    4.872018e-15 2.042023e-12 -2.292978e-14 4.151095e-15 1.035759e-12 -5.924563e-19 7.209232e-16 1.006265e-12 -2.292919e-14
4.34696e-06    1.318870e-14 2.026338e-12 -2.214013e-14 1.223464e-14 1.039198e-12 -4.358758e-19 9.540613e-16 9.871400e-13 -2.213969e-14
4.5005e-06     5.049887e-15 2.027603e-12 -2.115876e-14 3.932943e-15 1.058420e-12 -6.265461e-19 1.116944e-15 9.691833e-13 -2.115813e-14
4.65478e-06    1.052898e-14 1.984839e-12 -2.018861e-14 9.095598e-15 1.033062e-12 -4.110446e-19 1.433378e-15 9.517775e-13 -2.018820e-14
4.80931e-06    -7.639731e-15 1.979751e-12 -1.932308e-14 -9.082243e-15 1.044454e-12 -7.649307e-19 1.442512e-15 9.352968e-13 -1.932232e-14
4.9646e-06     1.003631e-14 1.957885e-12 -1.831780e-14 8.338983e-15 1.038540e-12 -5.072458e-19 1.697327e-15 9.193444e-13 -1.831729e-14
5.12039e-06    -4.952654e-16 1.960781e-12 -1.757747e-14 -2.277341e-15 1.056756e-12 -5.915303e-19 1.782075e-15 9.040243e-13 -1.757688e-14
5.27619e-06    -3.820081e-14 1.936252e-12 -1.757554e-14 -3.974052e-14 1.046986e-12 -8.836240e-19 1.539707e-15 8.892651e-13 -1.757466e-14
5.43199e-06    6.546492e-15 1.925305e-12 -1.708102e-14 4.808920e-15 1.050184e-12 -6.658888e-19 1.737572e-15 8.751206e-13 -1.708035e-14
5.58855e-06    1.931651e-14 1.906716e-12 -1.656535e-14 1.739632e-14 1.045402e-12 -4.390662e-19 1.920194e-15 8.613137e-13 -1.656491e-14
5.74591e-06    -2.856199e-15 1.898007e-12 -1.630182e-14 -4.690567e-15 1.050175e-12 -6.770532e-19 1.834368e-15 8.478328e-13 -1.630114e-14
5.90405e-06    -2.510107e-14 1.907247e-12 -1.604810e-14 -2.656572e-14 1.072303e-12 -6.598107e-19 1.464657e-15 8.349445e-13 -1.604744e-14
6.063e-06      1.519675e-14 1.905617e-12 -1.581030e-14 1.366727e-14 1.083094e-12 -5.579158e-19 1.529485e-15 8.225232e-13 -1.580975e-14
6.22275e-06    5.148400e-15 1.873247e-12 -1.544257e-14 3.791500e-15 1.062882e-12 -6.542222e-19 1.356899e-15 8.103647e-13 -1.544191e-14
6.38278e-06    -1.121967e-15 1.828130e-12 -1.514958e-14 -2.381142e-15 1.029676e-12 -6.200653e-19 1.259175e-15 7.984535e-13 -1.514896e-14
6.54309e-06    1.301010e-14 1.826402e-12 -1.456728e-14 1.167904e-14 1.039134e-12 -2.249409e-19 1.331058e-15 7.872686e-13 -1.456705e-14
6.70367e-06    1.150960e-14 1.824840e-12 -1.444615e-14 1.037488e-14 1.048121e-12 -6.964508e-19 1.134718e-15 7.767198e-13 -1.444545e-14
6.86452e-06    -9.951051e-15 1.818645e-12 -1.458373e-14 -1.049314e-14 1.051767e-12 -2.575392e-19 5.420870e-16 7.668786e-13 -1.458347e-14
7.0251e-06     9.669719e-15 1.815477e-12 -1.424623e-14 9.824064e-15 1.057697e-12 -1.114304e-19 -1.543445e-16 7.577802e-13 -1.424612e-14
7.18568e-06    -2.301259e-14 1.807950e-12 -1.449883e-14 -2.200841e-14 1.058741e-12 -5.981562e-19 -1.004174e-15 7.492088e-13 -1.449823e-14
7.34738e-06    -1.827308e-14 1.809379e-12 -1.445624e-14 -1.661529e-14 1.068298e-12 -4.869826e-19 -1.657784e-15 7.410805e-13 -1.445575e-14
7.50964e-06    -2.375178e-15 1.782612e-12 -1.421307e-14 -1.997088e-16 1.049409e-12 -6.746021e-19 -2.175469e-15 7.332029e-13 -1.421240e-14
7.67248e-06    -1.638375e-15 1.780809e-12 -1.410487e-14 8.636457e-16 1.055132e-12 -8.810673e-19 -2.502020e-15 7.256774e-13 -1.410399e-14
7.8356e-06     1.262615e-14 1.789464e-12 -1.359421e-14 1.530104e-14 1.070821e-12 -5.344619e-19 -2.674887e-15 7.186425e-13 -1.359368e-14
7.99901e-06    -1.660335e-14 1.780607e-12 -1.360684e-14 -1.368597e-14 1.068833e-12 -6.116693e-19 -2.917380e-15 7.117736e-13 -1.360623e-14
8.163e-06      2.391386e-15 1.781066e-12 -1.303061e-14 5.293105e-15 1.076012e-12 -4.819825e-19 -2.901719e-15 7.050545e-13 -1.303013e-14
8.32729e-06    -1.560601e-14 1.799187e-12 -1.271421e-14 -1.272886e-14 1.100404e-12 -6.189490e-19 -2.877148e-15 6.987821e-13 -1.271359e-14
8.49217e-06    -1.765380e-14 1.769312e-12 -1.235907e-14 -1.497264e-14 1.077041e-12 -8.664338e-19 -2.681164e-15 6.922714e-13 -1.235820e-14
8.65735e-06    -1.572938e-14 1.768044e-12 -1.196148e-14 -1.330889e-14 1.082077e-12 -7.188260e-19 -2.420484e-15 6.859669e-13 -1.196076e-14
8.82312e-06    3.894746e-15 1.771610e-12 -1.182833e-14 5.900980e-15 1.091556e-12 -5.965816e-19 -2.006234e-15 6.800543e-13 -1.182773e-14
8.9892e-06     -4.194099e-15 1.786247e-12 -1.167761e-14 -2.491851e-15 1.111569e-12 -6.718217e-19 -1.702248e-15 6.746777e-13 -1.167694e-14
9.15558e-06    5.537080e-15 1.754847e-12 -1.138062e-14 6.902415e-15 1.085580e-12 -6.360122e-19 -1.365334e-15 6.692663e-13 -1.137999e-14
9.32227e-06    5.934896e-15 1.748655e-12 -1.118109e-14 7.005133e-15 1.084600e-12 -5.702410e-19 -1.070237e-15 6.640546e-13 -1.118052e-14
9.48957e-06    -1.217284e-14 1.772483e-12 -1.075835e-14 -1.115924e-14 1.113179e-12 -4.228337e-19 -1.013594e-15 6.593037e-13 -1.075793e-14
9.65688e-06    -1.099513e-14 1.773842e-12 -1.071552e-14 -1.004062e-14 1.119142e-12 -5.242634e-19 -9.545069e-16 6.546993e-13 -1.071500e-14
9.82449e-06    1.618674e-14 1.776845e-12 -1.076934e-14 1.680741e-14 1.126541e-12 -1.269521e-19 -6.206651e-16 6.503041e-13 -1.076921e-14
9.9921e-06     -3.666596e-15 1.762418e-12 -1.047347e-14 -3.106924e-15 1.116364e-12 -9.858775e-19 -5.596717e-16 6.460542e-13 -1.047249e-14
1.01597e-05    -3.383539e-15 1.752793e-12 -1.050840e-14 -2.944868e-15 1.111063e-12 -5.284626e-19 -4.386712e-16 6.417303e-13 -1.050788e-14
1.0328e-05     -3.337853e-15 1.782903e-12 -1.036773e-14 -2.945765e-15 1.145273e-12 -4.868091e-19 -3.920879e-16 6.376303e-13 -1.036725e-14
1.04968e-05    5.971591e-15 1.771269e-12 -9.844265e-15 6.325482e-15 1.137403e-12 -4.413371e-19 -3.538907e-16 6.338659e-13 -9.843824e-15
1.06657e-05    1.253338e-15 1.771601e-12 -9.826144e-15 1.602113e-15 1.141584e-12 -6.673350e-19 -3.487757e-16 6.300172e-13 -9.825477e-15
1.08346e-05    -1.125841e-14 1.784515e-12 -9.891094e-15 -1.085354e-14 1.158568e-12 -4.770030e-19 -4.048638e-16 6.259469e-13 -9.890617e-15
1.10038e-05    -6.854676e-15 1.754647e-12 -9.800924e-15 -6.411334e-15 1.132471e-12 -8.436704e-19 -4.433423e-16 6.221756e-13 -9.800081e-15
1.11733e-05    -2.567807e-14 1.762041e-12 -9.901521e-15 -2.503755e-14 1.143530e-12 -6.317518e-19 -6.405246e-16 6.185111e-13 -9.900889e-15
1.13431e-05    -9.948783e-15 1.758232e-12 -9.717791e-15 -9.240604e-15 1.143349e-12 -5.482247e-19 -7.081786e-16 6.148824e-13 -9.717243e-15
1.1513e-05     -1.968929e-14 1.757127e-12 -9.565761e-15 -1.892082e-14 1.145317e-12 -3.815399e-19 -7.684655e-16 6.118106e-13 -9.565379e-15
1.16828e-05    1.494331e-14 1.753259e-12 -9.689063e-15 1.548836e-14 1.144724e-12 -5.141260e-19 -5.450558e-16 6.085356e-13 -9.688549e-15
1.1853e-05     5.219392e-15 1.747723e-12 -9.414503e-15 5.751046e-15 1.141795e-12 -5.081892e-20 -5.316540e-16 6.059276e-13 -9.414452e-15
1.20235e-05    -2.451074e-15 1.775844e-12 -9.137470e-15 -1.866614e-15 1.173150e-12 -7.682026e-19 -5.844605e-16 6.026943e-13 -9.136701e-15
1.21933e-05    1.031584e-14 1.761250e-12 -9.075818e-15 1.074462e-14 1.160385e-12 -2.799018e-20 -4.287728e-16 6.008657e-13 -9.075790e-15
1.23641e-05    5.064658e-15 1.765841e-12 -9.049609e-15 5.378278e-15 1.167958e-12 -3.846882e-19 -3.136199e-16 5.978834e-13 -9.049224e-15
1.2535e-05     -2.789730e-15 1.743919e-12 -8.885272e-15 -2.407123e-15 1.147868e-12 -4.980546e-19 -3.826073e-16 5.960504e-13 -8.884774e-15
1.27061e-05    -1.195880e-14 1.766251e-12 -9.056715e-15 -1.159522e-14 1.172714e-12 -4.062824e-20 -3.635809e-16 5.935369e-13 -9.056674e-15
1.2878e-05     9.836663e-15 1.744448e-12 -8.748909e-15 1.020488e-14 1.153248e-12 -4.552001e-19 -3.682198e-16 5.911997e-13 -8.748454e-15
1.30495e-05    -1.303085e-14 1.766805e-12 -8.760371e-15 -1.271223e-14 1.177718e-12 -3.390614e-19 -3.186154e-16 5.890871e-13 -8.760032e-15
1.32213e-05    -3.347961e-14 1.777230e-12 -8.903669e-15 -3.297802e-14 1.190162e-12 -4.815198e-19 -5.015933e-16 5.870674e-13 -8.903188e-15
1.33935e-05    -1.290444e-14 1.772709e-12 -8.763269e-15 -1.238968e-14 1.187605e-12 -4.210185e-19 -5.147631e-16 5.851041e-13 -8.762848e-15
1.35657e-05    -3.031432e-15 1.771571e-12 -8.567553e-15 -2.569646e-15 1.188700e-12 -4.356380e-19 -4.617854e-16 5.828707e-13 -8.567118e-15
1.37375e-05    -8.741368e-15 1.776633e-12 -8.729933e-15 -8.285436e-15 1.195931e-12 -3.364485e-19 -4.559323e-16 5.807025e-13 -8.729596e-15
1.39093e-05    -1.236476e-14 1.802047e-12 -8.712637e-15 -1.182741e-14 1.223493e-12 -3.727495e-19 -5.373515e-16 5.785538e-13 -8.712265e-15
1.40819e-05    -4.363248e-15 1.794148e-12 -8.675415e-15 -3.853049e-15 1.217695e-12 -3.866340e-19 -5.101984e-16 5.764531e-13 -8.675028e-15
1.42544e-05    1.357509e-14 1.769475e-12 -8.359036e-15 1.403326e-14 1.195416e-12 -3.521035e-19 -4.581704e-16 5.740591e-13 -8.358684e-15
1.44276e-05    1.964919e-14 1.781745e-12 -8.391488e-15 1.990697e-14 1.209975e-12 -4.181313e-19 -2.577731e-16 5.717697e-13 -8.391070e-15
1.46005e-05    1.076964e-14 1.792170e-12 -8.379183e-15 1.091748e-14 1.222561e-12 -3.971714e-19 -1.478365e-16 5.696090e-13 -8.378785e-15
1.47737e-05    1.802517e-14 1.797756e-12 -8.381805e-15 1.806778e-14 1.230326e-12 -4.920335e-19 -4.260666e-17 5.674305e-13 -8.381313e-15
1.49469e-05    1.252029e-14 1.809099e-12 -8.315223e-15 1.244618e-14 1.244272e-12 -3.762750e-19 7.410990e-17 5.648265e-13 -8.314847e-15
1.51202e-05    -2.111715e-14 1.825375e-12 -8.249547e-15 -2.096390e-14 1.262736e-12 -3.795087e-19 -1.532487e-16 5.626393e-13 -8.249168e-15
1.52937e-05    -2.921564e-14 1.836027e-12 -8.433635e-15 -2.898895e-14 1.275096e-12 -2.468248e-19 -2.266884e-16 5.609312e-13 -8.433388e-15
1.54677e-05    -2.286210e-14 1.830791e-12 -8.477484e-15 -2.243555e-14 1.271456e-12 -2.967889e-19 -4.265474e-16 5.593354e-13 -8.477187e-15
1.56413e-05    -8.172331e-15 1.846143e-12 -8.335548e-15 -7.615811e-15 1.288246e-12 -2.556215e-19 -5.565194e-16 5.578967e-13 -8.335293e-15
1.58152e-05    1.162102e-15 1.843517e-12 -8.128810e-15 1.733098e-15 1.287159e-12 -4.144348e-19 -5.709965e-16 5.563575e-13 -8.128396e-15
1.59895e-05    -2.970174e-15 1.856571e-12 -8.096604e-15 -2.391331e-15 1.301566e-12 -2.307106e-19 -5.788429e-16 5.550052e-13 -8.096374e-15
1.61638e-05    -7.685077e-17 1.843435e-12 -8.070312e-15 4.993773e-16 1.289918e-12 -2.651042e-19 -5.762280e-16 5.535174e-13 -8.070047e-15
1.63381e-05    -7.095548e-15 1.851340e-12 -8.097162e-15 -6.509448e-15 1.299214e-12 -2.695455e-19 -5.861002e-16 5.521256e-13 -8.096893e-15
1.65124e-05    9.324493e-16 1.862426e-12 -8.047614e-15 1.495176e-15 1.311567e-12 -2.041432e-19 -5.627262e-16 5.508592e-13 -8.047409e-15
1.66863e-05    4.218589e-15 1.864092e-12 -7.745682e-15 4.760688e-15 1.314470e-12 -2.636865e-19 -5.420989e-16 5.496223e-13 -7.745419e-15
1.68606e-05    5.035460e-15 1.882530e-12 -7.802559e-15 5.525043e-15 1.333956e-12 -1.706366e-19 -4.895832e-16 5.485741e-13 -7.802388e-15
1.70345e-05    -1.739749e-14 1.886930e-12 -7.875065e-15 -1.679253e-14 1.339465e-12 -1.719626e-19 -6.049639e-16 5.474651e-13 -7.874893e-15
1.72088e-05    -8.856262e-15 1.875713e-12 -7.778449e-15 -8.214403e-15 1.329426e-12 -1.026613e-19 -6.418581e-16 5.462866e-13 -7.778346e-15
1.73835e-05    -2.013402e-14 1.846214e-12 -7.811138e-15 -1.945200e-14 1.301214e-12 -2.346353e-19 -6.820215e-16 5.449996e-13 -7.810903e-15
1.75585e-05    1.327176e-15 1.842610e-12 -7.796112e-15 1.888336e-15 1.299033e-12 -1.578173e-19 -5.611595e-16 5.435775e-13 -7.795954e-15
1.77336e-05    -5.397112e-15 1.840181e-12 -7.846036e-15 -4.844760e-15 1.298254e-12 -3.212141e-19 -5.523520e-16 5.419266e-13 -7.845714e-15
1.79086e-05    -2.083627e-15 1.830943e-12 -7.694899e-15 -1.523369e-15 1.290647e-12 -3.609931e-19 -5.602575e-16 5.402960e-13 -7.694538e-15
1.8084e-05     5.030532e-15 1.817393e-12 -7.489775e-15 5.562938e-15 1.278697e-12 -3.750579e-19 -5.324062e-16 5.386955e-13 -7.489399e-15
1.82594e-05    -1.278414e-14 1.811171e-12 -7.517259e-15 -1.214220e-14 1.274076e-12 -3.721594e-19 -6.419382e-16 5.370949e-13 -7.516887e-15
1.84348e-05    -3.095582e-15 1.789415e-12 -7.469759e-15 -2.464430e-15 1.254169e-12 -2.906239e-19 -6.311527e-16 5.352459e-13 -7.469468e-15
1.86102e-05    -3.509462e-15 1.786642e-12 -7.412335e-15 -2.876948e-15 1.253148e-12 -3.900988e-19 -6.325138e-16 5.334943e-13 -7.411945e-15
1.8786e-05     5.024802e-15 1.775851e-12 -7.448820e-15 5.576356e-15 1.244243e-12 -2.340187e-19 -5.515541e-16 5.316080e-13 -7.448586e-15
1.89618e-05    -1.003589e-14 1.768089e-12 -7.504539e-15 -9.460846e-15 1.238318e-12 -2.712081e-19 -5.750458e-16 5.297710e-13 -7.504268e-15
1.91376e-05    9.007228e-16 1.750832e-12 -7.581253e-15 1.438521e-15 1.222954e-12 -1.809566e-19 -5.377982e-16 5.278772e-13 -7.581072e-15
1.93138e-05    -8.820953e-15 1.738440e-12 -7.427115e-15 -8.219376e-15 1.212568e-12 -2.583722e-19 -6.015768e-16 5.258726e-13 -7.426857e-15
1.94903e-05    -1.340097e-14 1.734511e-12 -7.542545e-15 -1.275472e-14 1.210674e-12 -1.631024e-19 -6.462542e-16 5.238371e-13 -7.542382e-15
1.96669e-05    -1.893406e-14 1.736600e-12 -7.345567e-15 -1.819721e-14 1.214721e-12 -2.856879e-19 -7.368529e-16 5.218795e-13 -7.345281e-15
