y,U_0,U_1,U_2
0,0.68369,0,0
2.32323e-05,0.68369,0,0
4.64646e-05,0.68369,0,0
6.9697e-05,0.68369,0,0
9.29293e-05,0.68369,0,0
0.000116162,0.68369,0,0
0.000139394,0.68369,0,0
0.000162626,0.68369,0,0
0.000185859,0.68369,0,0
0.000209091,0.68369,0,0
0.000232323,0.68369,0,0
0.000255556,0.68369,0,0
0.000278788,0.68369,0,0
0.00030202,0.68369,0,0
0.000325253,0.68369,0,0
0.000348485,0.68369,0,0
0.000371717,0.68369,0,0
0.000394949,0.68369,0,0
0.000418182,0.68369,0,0
0.000441414,0.68369,0,0
0.000464646,0.68369,0,0
0.000487879,0.68369,0,0
0.000511111,0.68369,0,0
0.000534343,0.68369,0,0
0.000557576,0.68369,0,0
0.000580808,0.68369,0,0
0.00060404,0.68369,0,0
0.000627273,0.68369,0,0
0.000650505,0.68369,0,0
0.000673737,0.68369,0,0
0.00069697,0.68369,0,0
0.000720202,0.68369,0,0
0.000743434,0.68369,0,0
0.000766667,0.68369,0,0
0.000789899,0.68369,0,0
0.000813131,0.68369,0,0
0.000836364,0.68369,0,0
0.000859596,0.68369,0,0
0.000882828,0.68369,0,0
0.000906061,0.68369,0,0
0.000929293,0.68369,0,0
0.000952525,0.68369,0,0
0.000975758,0.68369,0,0
0.00099899,0.68369,0,0
0.00102222,0.68369,0,0
0.00104545,0.68369,0,0
0.00106869,0.68369,0,0
0.00109192,0.68369,0,0
0.00111515,0.68369,0,0
0.00113838,0.68369,0,0
0.00116162,0.68369,0,0
0.00118485,0.68369,0,0
0.00120808,0.68369,0,0
0.00123131,0.68369,0,0
0.00125455,0.68369,0,0
0.00127778,0.68369,0,0
0.00130101,0.68369,0,0
0.00132424,0.68369,0,0
0.00134747,0.68369,0,0
0.00137071,0.68369,0,0
0.00139394,0.68369,0,0
0.00141717,0.68369,0,0
0.0014404,0.68369,0,0
0.00146364,0.68369,0,0
0.00148687,0.68369,0,0
0.0015101,0.68369,0,0
0.00153333,0.68369,0,0
0.00155657,0.68369,0,0
0.0015798,0.68369,0,0
0.00160303,0.68369,0,0
0.00162626,0.68369,0,0
0.00164949,0.68369,0,0
0.00167273,0.68369,0,0
0.00169596,0.68369,0,0
0.00171919,0.68369,0,0
0.00174242,0.68369,0,0
0.00176566,0.68369,0,0
0.00178889,0.68369,0,0
0.00181212,0.68369,0,0
0.00183535,0.68369,0,0
0.00185859,0.68369,0,0
0.00188182,0.68369,0,0
0.00190505,0.68369,0,0
0.00192828,0.68369,0,0
0.00195152,0.68369,0,0
0.00197475,0.68369,0,0
0.00199798,0.68369,0,0
0.00202121,0.68369,0,0
0.00204444,0.68369,0,0
0.00206768,0.68369,0,0
0.00209091,0.68369,0,0
0.00211414,0.68369,0,0
0.00213737,0.68369,0,0
0.00216061,0.68369,0,0
0.00218384,0.68369,0,0
0.00220707,0.68369,0,0
0.0022303,0.68369,0,0
0.00225354,0.68369,0,0
0.00227677,0.68369,0,0
