y,U_0,U_1,U_2
0,1.35711,-1.70967e-05,3.51261e-10
2.32323e-05,1.35711,-1.70967e-05,3.51261e-10
4.64646e-05,1.35711,-1.70967e-05,3.51261e-10
6.9697e-05,1.35711,-1.70967e-05,3.51261e-10
9.29293e-05,1.35711,-1.70967e-05,3.51261e-10
0.000116162,1.3512,-3.8977e-05,-3.85458e-10
0.000139394,1.3512,-3.8977e-05,-3.85458e-10
0.000162626,1.3512,-3.8977e-05,-3.85458e-10
0.000185859,1.3512,-3.8977e-05,-3.85458e-10
0.000209091,1.3512,-3.8977e-05,-3.85458e-10
0.000232323,1.33818,-5.62847e-05,1.03326e-10
0.000255556,1.33818,-5.62847e-05,1.03326e-10
0.000278788,1.33818,-5.62847e-05,1.03326e-10
0.00030202,1.33818,-5.62847e-05,1.03326e-10
0.000325253,1.33818,-5.62847e-05,1.03326e-10
0.000348485,1.31838,-7.471e-05,2.46376e-10
0.000371717,1.31838,-7.471e-05,2.46376e-10
0.000394949,1.31838,-7.471e-05,2.46376e-10
0.000418182,1.31838,-7.471e-05,2.46376e-10
0.000441414,1.31838,-7.471e-05,2.46376e-10
0.000464646,1.29182,-8.86045e-05,-1.05417e-12
0.000487879,1.29182,-8.86045e-05,-1.05417e-12
0.000511111,1.29182,-8.86045e-05,-1.05417e-12
0.000534343,1.29182,-8.86045e-05,-1.05417e-12
0.000557576,1.29182,-8.86045e-05,-1.05417e-12
0.000580808,1.25848,-9.98609e-05,4.14663e-11
0.00060404,1.25848,-9.98609e-05,4.14663e-11
0.000627273,1.25848,-9.98609e-05,4.14663e-11
0.000650505,1.25848,-9.98609e-05,4.14663e-11
0.000673737,1.25848,-9.98609e-05,4.14663e-11
0.00069697,1.21835,-0.000106533,6.38735e-11
0.000720202,1.21835,-0.000106533,6.38735e-11
0.000743434,1.21835,-0.000106533,6.38735e-11
0.000766667,1.21835,-0.000106533,6.38735e-11
0.000789899,1.21835,-0.000106533,6.38735e-11
0.000813131,1.17138,-0.00011026,-3.59167e-12
0.000836364,1.17138,-0.00011026,-3.59167e-12
0.000859596,1.17138,-0.00011026,-3.59167e-12
0.000882828,1.17138,-0.00011026,-3.59167e-12
0.000906061,1.17138,-0.00011026,-3.59167e-12
0.000929293,1.11755,-0.00010774,-5.84962e-11
0.000952525,1.11755,-0.00010774,-5.84962e-11
0.000975758,1.11755,-0.00010774,-5.84962e-11
0.00099899,1.11755,-0.00010774,-5.84962e-11
0.00102222,1.11755,-0.00010774,-5.84962e-11
0.00104545,1.05683,-0.000102773,-3.32559e-11
0.00106869,1.05683,-0.000102773,-3.32559e-11
0.00109192,1.05683,-0.000102773,-3.32559e-11
0.00111515,1.05683,-0.000102773,-3.32559e-11
0.00113838,1.05683,-0.000102773,-3.32559e-11
0.00116162,0.989191,-9.49836e-05,2.24371e-11
0.00118485,0.989191,-9.49836e-05,2.24371e-11
0.00120808,0.989191,-9.49836e-05,2.24371e-11
0.00123131,0.989191,-9.49836e-05,2.24371e-11
0.00125455,0.989191,-9.49836e-05,2.24371e-11
0.00127778,0.914613,-8.43821e-05,3.04984e-11
0.00130101,0.914613,-8.43821e-05,3.04984e-11
0.00132424,0.914613,-8.43821e-05,3.04984e-11
0.00134747,0.914613,-8.43821e-05,3.04984e-11
0.00137071,0.914613,-8.43821e-05,3.04984e-11
0.00139394,0.833085,-7.0579e-05,4.46012e-11
0.00141717,0.833085,-7.0579e-05,4.46012e-11
0.0014404,0.833085,-7.0579e-05,4.46012e-11
0.00146364,0.833085,-7.0579e-05,4.46012e-11
0.00148687,0.833085,-7.0579e-05,4.46012e-11
0.0015101,0.744604,-5.66796e-05,4.02815e-11
0.00153333,0.744604,-5.66796e-05,4.02815e-11
0.00155657,0.744604,-5.66796e-05,4.02815e-11
0.0015798,0.744604,-5.66796e-05,4.02815e-11
0.00160303,0.744604,-5.66796e-05,4.02815e-11
0.00162626,0.649168,-4.4201e-05,1.08396e-10
0.00164949,0.649168,-4.4201e-05,1.08396e-10
0.00167273,0.649168,-4.4201e-05,1.08396e-10
0.00169596,0.649168,-4.4201e-05,1.08396e-10
0.00171919,0.649168,-4.4201e-05,1.08396e-10
0.00174242,0.546783,-3.06573e-05,4.00593e-11
0.00176566,0.546783,-3.06573e-05,4.00593e-11
0.00178889,0.546783,-3.06573e-05,4.00593e-11
0.00181212,0.546783,-3.06573e-05,4.00593e-11
0.00183535,0.546783,-3.06573e-05,4.00593e-11
0.00185859,0.437456,-2.06482e-05,2.66348e-11
0.00188182,0.437456,-2.06482e-05,2.66348e-11
0.00190505,0.437456,-2.06482e-05,2.66348e-11
0.00192828,0.437456,-2.06482e-05,2.66348e-11
0.00195152,0.437456,-2.06482e-05,2.66348e-11
0.00197475,0.321198,-1.16924e-05,-5.45566e-12
0.00199798,0.321198,-1.16924e-05,-5.45566e-12
0.00202121,0.321198,-1.16924e-05,-5.45566e-12
0.00204444,0.321198,-1.16924e-05,-5.45566e-12
0.00206768,0.321198,-1.16924e-05,-5.45566e-12
0.00209091,0.198017,-4.77271e-06,-1.40129e-11
0.00211414,0.198017,-4.77271e-06,-1.40129e-11
0.00213737,0.198017,-4.77271e-06,-1.40129e-11
0.00216061,0.198017,-4.77271e-06,-1.40129e-11
0.00218384,0.198017,-4.77271e-06,-1.40129e-11
0.00220707,0.0679268,-7.43686e-07,-3.60796e-13
0.0022303,0.0679268,-7.43686e-07,-3.60796e-13
0.00225354,0.0679268,-7.43686e-07,-3.60796e-13
0.00227677,0.0679268,-7.43686e-07,-3.60796e-13
