y,U_0,U_1,U_2
0,1.35783,-1.50416e-05,3.90023e-11
2.32323e-05,1.35783,-1.50416e-05,3.90023e-11
4.64646e-05,1.35783,-1.50416e-05,3.90023e-11
6.9697e-05,1.35783,-1.50416e-05,3.90023e-11
9.29293e-05,1.35783,-1.50416e-05,3.90023e-11
0.000116162,1.3519,-3.42829e-05,-2.52609e-11
0.000139394,1.3519,-3.42829e-05,-2.52609e-11
0.000162626,1.3519,-3.42829e-05,-2.52609e-11
0.000185859,1.3519,-3.42829e-05,-2.52609e-11
0.000209091,1.3519,-3.42829e-05,-2.52609e-11
0.000232323,1.33884,-4.94763e-05,-7.80904e-11
0.000255556,1.33884,-4.94763e-05,-7.80904e-11
0.000278788,1.33884,-4.94763e-05,-7.80904e-11
0.00030202,1.33884,-4.94763e-05,-7.80904e-11
0.000325253,1.33884,-4.94763e-05,-7.80904e-11
0.000348485,1.31897,-6.56732e-05,-7.16774e-11
0.000371717,1.31897,-6.56732e-05,-7.16774e-11
0.000394949,1.31897,-6.56732e-05,-7.16774e-11
0.000418182,1.31897,-6.56732e-05,-7.16774e-11
0.000441414,1.31897,-6.56732e-05,-7.16774e-11
0.000464646,1.29233,-7.74951e-05,5.48096e-11
0.000487879,1.29233,-7.74951e-05,5.48096e-11
0.000511111,1.29233,-7.74951e-05,5.48096e-11
0.000534343,1.29233,-7.74951e-05,5.48096e-11
0.000557576,1.29233,-7.74951e-05,5.48096e-11
0.000580808,1.25891,-8.7422e-05,-4.15726e-12
0.00060404,1.25891,-8.7422e-05,-4.15726e-12
0.000627273,1.25891,-8.7422e-05,-4.15726e-12
0.000650505,1.25891,-8.7422e-05,-4.15726e-12
0.000673737,1.25891,-8.7422e-05,-4.15726e-12
0.00069697,1.21868,-9.46583e-05,-6.1764e-11
0.000720202,1.21868,-9.46583e-05,-6.1764e-11
0.000743434,1.21868,-9.46583e-05,-6.1764e-11
0.000766667,1.21868,-9.46583e-05,-6.1764e-11
0.000789899,1.21868,-9.46583e-05,-6.1764e-11
0.000813131,1.17163,-9.45475e-05,-5.70119e-11
0.000836364,1.17163,-9.45475e-05,-5.70119e-11
0.000859596,1.17163,-9.45475e-05,-5.70119e-11
0.000882828,1.17163,-9.45475e-05,-5.70119e-11
0.000906061,1.17163,-9.45475e-05,-5.70119e-11
0.000929293,1.1177,-9.24529e-05,-1.80137e-11
0.000952525,1.1177,-9.24529e-05,-1.80137e-11
0.000975758,1.1177,-9.24529e-05,-1.80137e-11
0.00099899,1.1177,-9.24529e-05,-1.80137e-11
0.00102222,1.1177,-9.24529e-05,-1.80137e-11
0.00104545,1.0569,-8.91027e-05,9.43474e-12
0.00106869,1.0569,-8.91027e-05,9.43474e-12
0.00109192,1.0569,-8.91027e-05,9.43474e-12
0.00111515,1.0569,-8.91027e-05,9.43474e-12
0.00113838,1.0569,-8.91027e-05,9.43474e-12
0.00116162,0.989181,-8.26717e-05,4.96393e-12
0.00118485,0.989181,-8.26717e-05,4.96393e-12
0.00120808,0.989181,-8.26717e-05,4.96393e-12
0.00123131,0.989181,-8.26717e-05,4.96393e-12
0.00125455,0.989181,-8.26717e-05,4.96393e-12
0.00127778,0.914542,-7.2197e-05,-7.40234e-11
0.00130101,0.914542,-7.2197e-05,-7.40234e-11
0.00132424,0.914542,-7.2197e-05,-7.40234e-11
0.00134747,0.914542,-7.2197e-05,-7.40234e-11
0.00137071,0.914542,-7.2197e-05,-7.40234e-11
0.00139394,0.832968,-6.14349e-05,-2.13912e-11
0.00141717,0.832968,-6.14349e-05,-2.13912e-11
0.0014404,0.832968,-6.14349e-05,-2.13912e-11
0.00146364,0.832968,-6.14349e-05,-2.13912e-11
0.00148687,0.832968,-6.14349e-05,-2.13912e-11
0.0015101,0.744458,-4.99761e-05,-5.07813e-11
0.00153333,0.744458,-4.99761e-05,-5.07813e-11
0.00155657,0.744458,-4.99761e-05,-5.07813e-11
0.0015798,0.744458,-4.99761e-05,-5.07813e-11
0.00160303,0.744458,-4.99761e-05,-5.07813e-11
0.00162626,0.649006,-3.77531e-05,1.9791e-12
0.00164949,0.649006,-3.77531e-05,1.9791e-12
0.00167273,0.649006,-3.77531e-05,1.9791e-12
0.00169596,0.649006,-3.77531e-05,1.9791e-12
0.00171919,0.649006,-3.77531e-05,1.9791e-12
0.00174242,0.546622,-2.80539e-05,-2.07221e-11
0.00176566,0.546622,-2.80539e-05,-2.07221e-11
0.00178889,0.546622,-2.80539e-05,-2.07221e-11
0.00181212,0.546622,-2.80539e-05,-2.07221e-11
0.00183535,0.546622,-2.80539e-05,-2.07221e-11
0.00185859,0.43731,-1.8018e-05,-4.78201e-11
0.00188182,0.43731,-1.8018e-05,-4.78201e-11
0.00190505,0.43731,-1.8018e-05,-4.78201e-11
0.00192828,0.43731,-1.8018e-05,-4.78201e-11
0.00195152,0.43731,-1.8018e-05,-4.78201e-11
0.00197475,0.321079,-9.65171e-06,-1.32596e-11
0.00199798,0.321079,-9.65171e-06,-1.32596e-11
0.00202121,0.321079,-9.65171e-06,-1.32596e-11
0.00204444,0.321079,-9.65171e-06,-1.32596e-11
0.00206768,0.321079,-9.65171e-06,-1.32596e-11
0.00209091,0.197939,-4.07988e-06,-1.1945e-12
0.00211414,0.197939,-4.07988e-06,-1.1945e-12
0.00213737,0.197939,-4.07988e-06,-1.1945e-12
0.00216061,0.197939,-4.07988e-06,-1.1945e-12
0.00218384,0.197939,-4.07988e-06,-1.1945e-12
0.00220707,0.0678975,-6.9599e-07,1.2819e-11
0.0022303,0.0678975,-6.9599e-07,1.2819e-11
0.00225354,0.0678975,-6.9599e-07,1.2819e-11
0.00227677,0.0678975,-6.9599e-07,1.2819e-11
