y,U_0,U_1,U_2
5.74912e-05,1.35818,-1.38188e-05,2.12402e-10
0.000172474,1.35223,-3.13359e-05,-1.72686e-10
0.000287456,1.33915,-4.59916e-05,-6.48242e-11
0.000402439,1.31925,-6.19738e-05,-1.34472e-10
0.000517421,1.29257,-7.27836e-05,-3.18266e-11
0.000632404,1.25911,-7.98845e-05,-2.64154e-11
0.000747386,1.21884,-8.56992e-05,-5.4884e-11
0.000862369,1.17174,-8.64494e-05,5.27388e-12
0.000977351,1.11777,-8.75766e-05,-4.55261e-12
0.00109233,1.05693,-8.4344e-05,-1.44336e-11
0.00120732,0.989176,-7.68997e-05,1.74557e-12
0.0013223,0.914508,-6.82286e-05,-7.75677e-11
0.00143728,0.832913,-5.77178e-05,-7.52766e-11
0.00155226,0.744386,-4.68288e-05,-6.24641e-11
0.00166725,0.648928,-3.52149e-05,2.41637e-11
0.00178223,0.546546,-2.52675e-05,-1.11708e-11
0.00189721,0.437241,-1.70625e-05,3.0444e-11
0.00201219,0.321022,-8.44959e-06,1.76174e-11
0.00212718,0.197901,-3.80661e-06,6.90633e-13
0.00224216,0.0678835,-7.14998e-07,2.44547e-11
