y,U_0,U_1,U_2
5.74913e-05,1.36268,-1.17343e-08,-4.45779e-10
0.000172474,1.35661,-3.20845e-08,-1.07164e-11
0.000287456,1.34326,-5.20618e-08,8.90526e-11
0.000402439,1.32297,-6.43669e-08,7.74039e-11
0.000517421,1.2958,-7.37852e-08,-2.13367e-11
0.000632404,1.26178,-7.67632e-08,-8.15235e-11
0.000747386,1.22091,-7.7222e-08,-5.30456e-12
0.000862369,1.1732,-7.58668e-08,2.18285e-11
0.000977351,1.11866,-6.94797e-08,3.16114e-11
0.00109233,1.05727,-6.13392e-08,6.222e-11
0.00120732,0.989055,-5.20596e-08,9.86976e-11
0.0013223,0.914005,-4.18727e-08,4.36789e-11
0.00143728,0.832123,-3.20114e-08,2.00948e-11
0.00155226,0.743409,-2.36617e-08,-1.16246e-12
0.00166725,0.647865,-1.73966e-08,-1.29225e-11
0.00178223,0.54549,-1.24931e-08,2.52003e-11
0.00189721,0.436285,-7.4726e-09,4.19947e-11
0.00201219,0.32025,-4.08078e-09,2.09706e-11
0.00212718,0.197386,-1.49702e-09,2.74335e-11
0.00224216,0.0676921,-5.48426e-10,8.9809e-12
