y,U_0,U_1,U_2
5.74913e-05,1.36224,-9.75216e-07,-4.68104e-10
0.000172474,1.35618,-3.46368e-06,-1.96266e-10
0.000287456,1.34286,-5.06536e-06,-4.75647e-10
0.000402439,1.32261,-6.66905e-06,-1.84537e-10
0.000517421,1.2955,-7.80994e-06,-1.67419e-10
0.000632404,1.26154,-8.67819e-06,-2.04391e-10
0.000747386,1.22073,-9.21462e-06,-2.33912e-10
0.000862369,1.17309,-9.40661e-06,-3.28127e-10
0.000977351,1.1186,-9.30141e-06,-3.53568e-10
0.00109233,1.05727,-8.92706e-06,-3.12368e-10
0.00120732,0.989101,-8.19266e-06,-2.71359e-10
0.0013223,0.914089,-7.32135e-06,-2.79907e-10
0.00143728,0.832235,-6.23081e-06,-2.47185e-10
0.00155226,0.743538,-4.95851e-06,-1.96221e-10
0.00166725,0.648,-3.83991e-06,-1.4363e-10
0.00178223,0.545621,-2.71021e-06,-9.90738e-11
0.00189721,0.436401,-1.6973e-06,-3.78386e-11
0.00201219,0.320343,-1.00276e-06,2.02509e-11
0.00212718,0.197448,-4.56534e-07,6.90241e-11
0.00224216,0.0677149,-8.23425e-08,1.40733e-11
