y,U_0,U_1,U_2
5.74913e-05,1.36264,3.96184e-08,-9.97557e-12
0.000172474,1.35657,8.4578e-08,-1.35111e-10
0.000287456,1.34322,1.05395e-07,-7.53989e-11
0.000402439,1.32293,1.43732e-07,-2.46426e-10
0.000517421,1.29577,2.03712e-07,-5.7189e-11
0.000632404,1.26174,2.4609e-07,-1.66185e-11
0.000747386,1.22088,2.6967e-07,9.61539e-12
0.000862369,1.17316,2.91687e-07,-8.56557e-11
0.000977351,1.11862,2.97808e-07,-8.97297e-11
0.00109233,1.05723,2.90719e-07,-1.24149e-10
0.00120732,0.989017,2.77809e-07,-1.24421e-10
0.0013223,0.913968,2.52751e-07,-1.12734e-10
0.00143728,0.832087,2.18998e-07,-1.01772e-10
0.00155226,0.743376,1.82803e-07,-7.31139e-11
0.00166725,0.647835,1.43573e-07,-8.07182e-11
0.00178223,0.545464,1.0688e-07,-4.1388e-11
0.00189721,0.436264,6.87462e-08,1.65998e-11
0.00201219,0.320235,3.68442e-08,-6.23182e-11
0.00212718,0.197376,1.83385e-08,-1.3461e-11
0.00224216,0.0676887,2.99518e-09,1.0993e-12
