y,U_0,U_1,U_2
5.74913e-05,1.36254,6.28328e-08,-8.89363e-11
0.000172474,1.35648,1.41302e-07,-1.6867e-11
0.000287456,1.34312,2.15698e-07,-4.54199e-10
0.000402439,1.32284,2.70501e-07,-2.36702e-10
0.000517421,1.29567,3.38401e-07,-1.8299e-10
0.000632404,1.26165,3.84661e-07,-1.41855e-10
0.000747386,1.22079,4.4072e-07,-1.63972e-10
0.000862369,1.17308,5.08973e-07,-1.81875e-10
0.000977351,1.11853,5.58431e-07,-2.00781e-10
0.00109233,1.05715,5.94575e-07,-2.95167e-10
0.00120732,0.988941,6.04358e-07,-2.9687e-10
0.0013223,0.913896,5.82911e-07,-2.80379e-10
0.00143728,0.832021,5.24614e-07,-3.10046e-10
0.00155226,0.743316,4.41546e-07,-2.28003e-10
0.00166725,0.647781,3.39687e-07,-1.91861e-10
0.00178223,0.545418,2.53826e-07,-1.30163e-10
0.00189721,0.436227,1.56827e-07,-1.18976e-10
0.00201219,0.320207,7.81943e-08,-1.12074e-10
0.00212718,0.197359,3.77568e-08,-4.90968e-11
0.00224216,0.0676826,7.2667e-09,-1.5876e-11
