distance,T,p,U_0,U_1,U_2
0.00155556,234.269,13428.6,402.149,0.657577,0
0.00311111,164.408,5434.19,557.985,-177.964,0
0.00466667,143.065,4545.55,572.636,-259.523,0
0.00622222,134.478,4020.36,617.649,-191.576,0
0.00777778,128.313,4008.24,626.918,-213.73,0
0.00933333,122.061,3803.6,639.201,-215.606,0
0.0108889,114.911,3606.51,649.925,-224.231,0
0.0124444,109.015,3263.57,665.416,-193.511,0
0.014,110.632,3723.51,656.925,-213.246,0
0.0155556,108.282,3656.41,657.842,-214.258,0
0.0171111,106.059,3409.27,659.5,-212.423,0
0.0186667,103.982,3370.35,663.137,-204.782,0
0.0202222,105.141,3565.54,659.982,-212.75,0
0.0217778,105.538,3619.14,661.904,-204.949,0
0.0233333,105.553,3625.82,661.867,-204.483,0
0.0248889,105.285,3595.47,660.556,-209.77,0
0.0264444,104.159,3443,665.937,-204.323,0
0.028,103.805,3409.73,662.616,-209.295,0
0.0295556,105.012,3564.83,659.951,-211.557,0
0.0311111,103.862,3441.52,665.773,-202.064,0
0.0326667,103.79,3438.74,660.113,-213.131,0
0.0342222,105.49,3619.08,660.638,-207.383,0
0.0357778,105.939,3663.81,661.177,-202.839,0
0.0373333,105.54,3631.95,664.762,-198.685,0
0.0388889,104.769,3532.72,662.873,-209.32,0
0.0404444,104.555,3510.03,661.466,-209.106,0
0.042,104.959,3558.81,660.823,-208.591,0
0.0435556,105.326,3603.68,661.458,-207.737,0
0.0451111,104.931,3562.65,662.191,-208.462,0
0.0466667,104.802,3536.81,662.03,-207.764,0
0.0482222,104.987,3549.8,661.068,-208.337,0
0.0497778,104.841,3533.93,661.495,-208.463,0
0.0513333,104.334,3482.33,662.525,-210.667,0
0.0528889,104.294,3486.1,662.16,-211.299,0
0.0544444,104.707,3524.62,661.959,-209.23,0
0.056,105.088,3569.41,661.203,-208.444,0
0.0575556,105.32,3596,660.882,-207.691,0
0.0591111,105.82,3648.64,661.111,-204.864,0
0.0606667,105.704,3634.69,661.671,-206.448,0
0.0622222,105.292,3593.35,662.549,-207.045,0
0.0637778,105.298,3592.13,662.58,-206.504,0
0.0653333,105.676,3633.07,662.195,-203.908,0
0.0668889,105.988,3673.21,663.437,-201.381,0
0.0684444,105.84,3655.41,664.039,-201.364,0
0.07,105.648,3633.52,662.496,-205.083,0
0.0715556,124.258,5596.13,648.857,-142.834,0
0.0731111,149.288,9227.33,615.126,-119.426,0
0.0746667,152.898,15882,600.468,-216.757,0
0.0762222,159.76,14809.3,613.608,-108.032,0
0.0777778,155.611,11105.8,618.781,-18.2002,0
0.0793333,155.276,11412.8,610.717,22.6017,0
0.0808889,157.876,12807.1,604.094,-3.3159,0
0.0824444,159.871,13226.2,603.429,-14.1114,0
0.084,157.983,12656.7,610.845,2.71281,0
0.0855556,157.89,12597,610.056,0.791744,0
0.0871111,159.815,12952.2,607.766,-6.45202,0
0.0886667,159.38,12879.6,608.919,-7.04402,0
0.0902222,159.432,12932.7,610.238,-2.27579,0
0.0917778,160.23,13143.3,609.642,-6.09892,0
0.0933333,160.389,13129.7,609.624,-3.99106,0
0.0948889,160.385,13040.7,609.222,-2.23203,0
0.0964444,160.695,13099.5,608.574,-1.85815,0
0.098,161.123,13198.3,607.875,-2.70624,0
0.0995556,161.539,13248.4,606.785,-3.39239,0
0.101111,162.254,13212.5,604.725,-3.78992,0
0.102667,161.651,13179.1,605.74,-4.71941,0
0.104222,161.726,13152.5,605.718,-4.05233,0
0.105778,161.612,13124.4,606.011,-3.09362,0
0.107333,162.108,13142.4,606.151,-1.30189,0
0.108889,161.293,13099.2,607.192,-1.43161,0
0.110444,160.984,13113,607.84,-1.60863,0
0.112,160.818,13109,607.968,-1.47119,0
0.113556,160.555,13078.2,607.996,-0.0325012,0
0.115111,160.447,13071,607.816,0.980956,0
0.116667,160.477,13084.8,607.418,1.69102,0
0.118222,160.706,13163.4,606.458,4.36708,0
0.119778,160.845,13201.6,606.345,2.01425,0
0.121333,160.88,13215.1,606.419,1.42152,0
0.122889,160.937,13236.3,606.399,0.955396,0
0.124444,161.008,13268.5,606.295,0.145255,0
0.126,161.042,13288.3,606.353,-0.169882,0
0.127556,161.082,13293.4,606.477,-0.20037,0
0.129111,161.365,13311.8,606.364,0.113117,0
0.130667,161.686,13340.2,605.942,0.262842,0
0.132222,162.13,13386.2,605.253,0.177123,0
0.133778,162.451,13424,604.929,0.850177,0
0.135333,162.501,13453,604.963,1.033,0
0.136889,162.472,13472.6,605.153,1.25861,0
0.138444,162.389,13479.4,605.527,1.51432,0
0.14,162.132,13454.7,606.057,1.58229,0
0.141556,161.888,13449.1,606.348,1.95296,0
0.143111,161.662,13442,606.606,2.27376,0
0.144667,161.476,13422.6,606.705,2.42645,0
0.146222,161.419,13397.2,606.664,2.41671,0
0.147778,161.423,13377.7,606.432,2.54198,0
0.149333,161.48,13375.2,606.037,2.53874,0
0.150889,161.54,13368.4,605.889,1.8577,0
0.152444,161.583,13361.2,605.836,1.71533,0
0.154,161.597,13361.3,605.809,1.54567,0
