distance,T,p,U_0,U_1,U_2
0.00155556,237.665,13347.9,394.021,0.399607,0
0.00311111,171.236,5290.03,541.007,-176.352,0
0.00466667,149.367,4371.07,582.815,-204.737,0
0.00622222,140.192,4265.2,605.188,-205.959,0
0.00777778,130.998,4170.4,624.698,-202.268,0
0.00933333,123.075,4076.08,639.709,-201.186,0
0.0108889,116.306,3915.25,650.878,-200.8,0
0.0124444,111.574,3780.54,658.421,-201.176,0
0.014,110.799,3813.1,658.485,-201.054,0
0.0155556,109.077,3754.06,660.841,-201.854,0
0.0171111,106.372,3637.96,663.232,-205.126,0
0.0186667,104.842,3500.53,662.786,-210.773,0
0.0202222,105.296,3483.13,660.547,-214.677,0
0.0217778,106.915,3650.89,659.817,-207.933,0
0.0233333,106.762,3690.16,661.066,-204.057,0
0.0248889,105.745,3692.43,662.791,-202.431,0
0.0264444,105.539,3673.98,662.656,-202.914,0
0.028,105.1,3623.1,662.774,-204.395,0
0.0295556,103.955,3516.88,662.692,-209.229,0
0.0311111,105.881,3548.46,658.477,-212.482,0
0.0326667,102.187,3218.16,660.809,-224.175,0
0.0342222,106.431,3712.13,661.349,-202.877,0
0.0357778,105.231,3666.46,663.29,-203.079,0
0.0373333,105.16,3649.84,662.305,-204.768,0
0.0388889,104.848,3603.33,662.496,-205.777,0
0.0404444,104.31,3550.82,662.469,-207.737,0
0.042,103.597,3427.22,662.02,-214.093,0
0.0435556,103.759,3392.04,661.548,-215.298,0
0.0451111,104.04,3449.07,661.236,-214.838,0
0.0466667,104.316,3481.87,661.608,-212.471,0
0.0482222,104.209,3521.73,662.627,-209.387,0
0.0497778,104.877,3551.64,661.905,-208.895,0
0.0513333,104.781,3548.36,661.983,-209.024,0
0.0528889,104.502,3524.45,661.91,-210.133,0
0.0544444,112.25,4023.47,654.152,-197.69,0
0.056,154.639,8835.59,613.594,-88.3349,0
0.0575556,147.985,9836.54,630.569,-36.418,0
0.0591111,156.344,11842.8,618.805,-12.2017,0
0.0606667,158.309,12194.2,615.656,-8.88446,0
0.0622222,157.96,12208.5,616.337,-9.3851,0
0.0637778,157.837,12238.1,616.444,-10.7979,0
0.0653333,156.58,12026.9,618.15,-8.82054,0
0.0668889,156.041,11910,618.863,-7.58784,0
0.0684444,156.226,11947.1,618.521,-7.92205,0
0.07,157.402,12267.8,616.443,-12.2507,0
0.0715556,158.069,12422.7,614.997,-13.4033,0
0.0731111,158.025,12412.6,614.885,-12.9631,0
0.0746667,157.415,12285.1,615.631,-10.5817,0
0.0762222,157.476,12291.9,615.419,-9.64119,0
0.0777778,157.717,12383.9,614.759,-9.52201,0
0.0793333,157.975,12455.5,614.288,-8.83305,0
0.0808889,158.18,12537.9,614.118,-8.23377,0
0.0824444,157.83,12481,614.756,-7.60883,0
0.084,157.876,12504.2,615.059,-6.48034,0
0.0855556,157.982,12524.6,615.119,-5.88732,0
0.0871111,158.038,12588.6,615.382,-6.46518,0
0.0886667,157.985,12593.4,615.677,-6.28725,0
0.0902222,157.957,12591.6,615.947,-5.86842,0
0.0917778,157.933,12613.3,616.533,-4.77329,0
0.0933333,158.009,12644.4,616.724,-4.2749,0
0.0948889,158.105,12692.2,617.325,-3.61221,0
0.0964444,158.063,12688.6,617.764,-3.30974,0
0.098,157.946,12670.2,618.339,-3.10221,0
0.0995556,157.62,12609.5,619.645,-3.06684,0
0.101111,157.646,12572.6,620.261,-3.30342,0
0.102667,157.424,12569.7,620.83,-3.63473,0
0.104222,157.311,12577.6,621.924,-3.60237,0
0.105778,157.346,12603.9,622.384,-3.13503,0
0.107333,157.881,12692.4,622.356,-1.66036,0
0.108889,157.592,12687,622.935,-1.95423,0
0.110444,157.576,12728.7,623.818,-1.80888,0
0.112,157.51,12736.6,624.344,-1.98025,0
0.113556,157.466,12736.1,624.761,-2.37242,0
0.115111,157.336,12727.8,625.308,-2.78957,0
0.116667,157.242,12724.2,625.766,-3.24374,0
0.118222,157.012,12718.6,626.728,-3.964,0
0.119778,156.988,12724.4,627.044,-4.41228,0
0.121333,156.844,12719.8,627.57,-4.66113,0
0.122889,156.814,12723.4,627.886,-5.07813,0
0.124444,156.691,12719.6,628.363,-5.37266,0
0.126,156.631,12721.6,628.649,-5.76226,0
0.127556,156.455,12723.2,629.075,-6.18287,0
0.129111,156.393,12740.5,629.202,-7.09288,0
0.130667,156.518,12760.3,628.993,-7.45048,0
0.132222,156.488,12775.3,628.895,-7.88039,0
0.133778,156.553,12793.9,628.585,-8.16039,0
0.135333,156.576,12815.7,628.232,-8.57343,0
0.136889,156.689,12840.3,627.668,-8.803,0
0.138444,156.747,12866.3,627.081,-9.27056,0
0.14,156.876,12893.3,626.299,-9.39585,0
0.141556,156.99,12928.5,625.418,-9.88854,0
0.143111,157.14,12958.2,624.394,-9.89728,0
0.144667,157.362,13013.2,623.128,-10.3759,0
0.146222,157.485,13035.6,621.955,-10.1639,0
0.147778,157.841,13106.2,620.333,-10.4198,0
0.149333,157.941,13120.6,619.086,-9.82294,0
0.150889,158.393,13201.3,617.16,-9.84975,0
0.152444,158.556,13234.6,615.724,-9.06315,0
0.154,159.041,13316.5,613.725,-8.94857,0
