x,y,z,T,p,U_0,U_1,U_2
0,0.05,0,288.9,101350,851.84,8.49205e-14,-3.51337e-18
0.00411892,0.0511037,4.33681e-19,288.9,101350,851.84,6.03074e-13,-9.4196e-18
0.00823784,0.0522073,0,288.9,101350,851.84,1.91241e-12,-1.23026e-17
0.0123568,0.053311,-4.33681e-19,288.9,101350,851.84,4.29013e-12,-7.50582e-18
0.0164757,0.0544146,0,288.9,101350,851.84,9.05583e-12,-5.34904e-18
0.0205946,0.0555183,4.06576e-19,288.9,101350,851.84,2.19979e-11,4.40662e-18
0.0247135,0.056622,5.42101e-19,288.9,101350,851.84,6.72008e-11,-1.03517e-19
0.0288324,0.0577256,3.25261e-19,288.9,101350,851.84,2.5882e-10,3.40548e-18
0.0329514,0.0588293,-3.25261e-19,288.9,101350,851.84,1.12006e-09,5.4764e-18
0.0370703,0.0599329,0,288.9,101350,851.84,4.97037e-09,1.48151e-17
0.0411892,0.0610366,6.50521e-19,288.9,101350,851.84,2.14176e-08,-3.63911e-19
0.0453081,0.0621403,-2.1684e-19,288.9,101350,851.84,8.18105e-08,1.63086e-17
0.049427,0.0632439,4.06576e-20,288.9,101350,851.84,3.33366e-07,1.40086e-17
0.0535459,0.0643476,5.96311e-19,288.9,101350,851.84,2.11654e-06,-1.09826e-17
0.0576649,0.0654513,5.42101e-19,288.9,101350,851.84,1.3509e-05,-8.28837e-18
0.0617838,0.0665549,4.33681e-19,288.9,101350,851.84,8.33769e-05,1.56579e-17
0.0659027,0.0676586,-1.30104e-18,288.9,101350,851.84,0.000445331,2.3002e-17
0.0700216,0.0687622,2.1684e-19,288.902,101352,851.838,0.00235773,3.01776e-17
0.0741405,0.0698659,2.1684e-19,288.911,101362,851.828,0.0126686,8.06137e-18
0.0782595,0.0709696,4.33681e-19,288.954,101405,851.776,0.0658117,0
0.0823784,0.0720732,4.33681e-19,289.081,101553,851.626,0.29556,-1.01998e-19
0.0864973,0.0731769,9.48677e-19,290.222,102456,850.269,1.50813,-5.41052e-18
0.0906162,0.0742805,-4.33681e-19,292.4,105129,847.572,6.85566,-3.69183e-17
0.0947351,0.0753842,2.1684e-19,304.779,115781,832.216,20.8082,-3.9746e-19
