y,U_0,U_1,U_2
0,0.98458,-0.00117282,2.04716e-05
9.99848e-05,0.984662,-0.00176185,-1.01901e-05
0.00019997,0.985443,-0.00311074,-1.79898e-05
0.000299954,0.986768,-0.00446592,-2.58284e-05
0.000399939,0.988565,-0.00587493,-3.39556e-05
0.000499924,0.990715,-0.00721673,-4.17189e-05
0.000599909,0.99298,-0.0085373,-4.92675e-05
0.000699893,0.995001,-0.00967825,-5.58499e-05
0.000799878,0.996079,-0.0108738,-6.29084e-05
0.000899863,0.995403,-0.0121124,-6.99096e-05
0.000999848,0.991812,-0.0127576,-7.34667e-05
0.00109983,0.9836,-0.013026,-7.49999e-05
0.00119982,0.968914,-0.0129943,-7.47406e-05
0.0012998,0.945674,-0.0125057,-7.18718e-05
0.00139979,0.911804,-0.0116273,-6.67659e-05
0.00149977,0.86547,-0.0103484,-5.93772e-05
0.00159976,0.805285,-0.00878037,-5.035e-05
0.00169974,0.730487,-0.00702724,-4.02761e-05
0.00179973,0.640973,-0.00523709,-3.00064e-05
0.00189971,0.537233,-0.00354551,-2.03098e-05
0.0019997,0.420167,-0.00208908,-1.19661e-05
0.00209968,0.29086,-0.000955798,-5.47483e-06
0.00219967,0.150351,-0.000255961,-1.46639e-06
0.00229965,0.0368154,-1.83014e-05,-1.04816e-07
