y,U_0,U_1,U_2
1.35525e-20,1.35729,-8.14269e-06,-1.42131e-07
9.99848e-05,1.35579,-2.45444e-05,-1.42131e-07
0.00019997,1.34863,-4.20907e-05,-2.43672e-07
0.000299954,1.33623,-5.84464e-05,-3.38258e-07
0.000399939,1.31871,-7.38971e-05,-4.27404e-07
0.000499924,1.29609,-8.67435e-05,-5.00777e-07
0.000599909,1.26835,-9.71021e-05,-5.60261e-07
0.000699893,1.23548,-0.000104287,-6.04618e-07
0.000799878,1.19746,-0.000108148,-6.28122e-07
0.000899863,1.15426,-0.000108986,-6.31775e-07
0.000999848,1.10586,-0.000107112,-6.21088e-07
0.00109983,1.05225,-0.000102328,-5.93271e-07
0.00119982,0.993406,-9.48856e-05,-5.49902e-07
0.0012998,0.929315,-8.55997e-05,-4.96791e-07
0.00139979,0.859971,-7.51637e-05,-4.36822e-07
0.00149977,0.78537,-6.38778e-05,-3.68866e-07
0.00159976,0.705509,-5.2104e-05,-2.98952e-07
0.00169974,0.620391,-4.05486e-05,-2.34073e-07
0.00179973,0.53002,-2.96672e-05,-1.7272e-07
0.00189971,0.4344,-1.99316e-05,-1.15965e-07
0.0019997,0.333539,-1.16887e-05,-6.81174e-08
0.00209968,0.227443,-5.33569e-06,-3.15471e-08
0.00219967,0.116118,-1.44372e-06,-8.57317e-09
0.00229965,0.0281284,-9.5308e-08,-5.36117e-10
