y,U_0,U_1,U_2
1.21316e-20,1.35722,-1.37985e-05,2.40853e-07
9.99848e-05,1.35647,-2.07242e-05,-1.19964e-07
0.00019997,1.34929,-3.57705e-05,-2.00097e-07
0.000299954,1.33684,-5.0002e-05,-2.81277e-07
0.000399939,1.31926,-6.26602e-05,-3.60952e-07
0.000499924,1.29657,-7.18175e-05,-4.25795e-07
0.000599909,1.26876,-8.05155e-05,-4.81946e-07
0.000699893,1.23581,-9.1944e-05,-5.36405e-07
0.000799878,1.19769,-9.99525e-05,-5.71058e-07
0.000899863,1.15441,-0.000102441,-5.81371e-07
0.000999848,1.10593,-0.000102237,-5.76255e-07
0.00109983,1.05224,-9.9517e-05,-5.55933e-07
0.00119982,0.993332,-9.47164e-05,-5.22544e-07
0.0012998,0.929185,-8.7891e-05,-4.78012e-07
0.00139979,0.859795,-7.9834e-05,-4.26685e-07
0.00149977,0.785158,-7.03618e-05,-3.65359e-07
0.00159976,0.705273,-6.00056e-05,-2.96107e-07
0.00169974,0.620143,-4.94159e-05,-2.24009e-07
0.00179973,0.52977,-3.84157e-05,-1.49935e-07
0.00189971,0.434158,-2.65326e-05,-7.16241e-08
0.0019997,0.333313,-1.30738e-05,7.07287e-09
0.00209968,0.227245,9.17303e-07,7.0268e-08
0.00219967,0.115978,1.05997e-05,6.33477e-08
0.00229965,0.0280811,6.40347e-06,1.46921e-08
