y,U_0,U_1,U_2
1.35525e-20,1.35835,-6.51766e-06,-1.13766e-07
9.99848e-05,1.35684,-1.9589e-05,-1.13766e-07
0.00019997,1.34965,-3.35086e-05,-1.94547e-07
0.000299954,1.33718,-4.65974e-05,-2.70311e-07
0.000399939,1.31958,-5.90026e-05,-3.41619e-07
0.000499924,1.29687,-6.92491e-05,-4.00283e-07
0.000599909,1.26902,-7.72538e-05,-4.44378e-07
0.000699893,1.23603,-8.2764e-05,-4.76738e-07
0.000799878,1.19788,-8.56308e-05,-4.96956e-07
0.000899863,1.15456,-8.59753e-05,-5.00671e-07
0.000999848,1.10605,-8.41728e-05,-4.90116e-07
0.00109983,1.05232,-8.01605e-05,-4.65878e-07
0.00119982,0.993383,-7.42032e-05,-4.30802e-07
0.0012998,0.929211,-6.65354e-05,-3.87023e-07
0.00139979,0.859801,-5.80827e-05,-3.3882e-07
0.00149977,0.785151,-4.92156e-05,-2.87667e-07
0.00159976,0.70526,-3.99683e-05,-2.34412e-07
0.00169974,0.62013,-3.12116e-05,-1.83318e-07
0.00179973,0.529766,-2.34443e-05,-1.36155e-07
0.00189971,0.434171,-1.67143e-05,-9.54169e-08
0.0019997,0.33335,-1.08383e-05,-6.1708e-08
0.00209968,0.227307,-5.50442e-06,-3.12416e-08
0.00219967,0.116045,-1.60613e-06,-8.98656e-09
0.00229965,0.0281103,-1.20507e-07,-6.31037e-10
