# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1.82815e-07    1.000086e-05 3.899070e-10 -1.000914e-22 9.585384e-06 3.732200e-10 -1.282271e-22 4.154769e-07 1.668697e-11 2.813573e-23
3.4512e-07     7.197513e-06 2.323708e-10 -1.024435e-22 6.803624e-06 2.115162e-10 -1.284741e-22 3.938892e-07 2.085456e-11 2.603060e-23
4.90389e-07    4.672278e-06 4.505433e-10 -1.046852e-22 4.292998e-06 4.296882e-10 -1.287129e-22 3.792796e-07 2.085513e-11 2.402776e-23
6.26331e-07    2.892981e-06 4.142593e-10 -1.056100e-22 2.530065e-06 3.941091e-10 -1.288798e-22 3.629156e-07 2.015013e-11 2.326976e-23
7.57258e-07    1.753273e-06 1.300195e-10 -1.060023e-22 1.409791e-06 1.120403e-10 -1.289774e-22 3.434818e-07 1.797916e-11 2.297510e-23
8.86481e-07    1.030969e-06 -1.050110e-10 -1.063204e-22 7.090776e-07 -1.198301e-10 -1.290418e-22 3.218917e-07 1.481909e-11 2.272131e-23
1.01553e-06    5.937331e-07 -3.031027e-10 -1.063477e-22 2.943582e-07 -3.143998e-10 -1.290806e-22 2.993748e-07 1.129711e-11 2.273282e-23
1.14561e-06    3.530053e-07 -3.241643e-10 -1.062568e-22 7.515798e-08 -3.322236e-10 -1.291001e-22 2.778473e-07 8.059326e-12 2.284333e-23
1.27706e-06    2.201105e-07 -2.966765e-10 -1.061095e-22 -3.866327e-08 -3.019650e-10 -1.291108e-22 2.587738e-07 5.288547e-12 2.300128e-23
1.40993e-06    1.544925e-07 -2.378804e-10 -1.059402e-22 -8.766542e-08 -2.410901e-10 -1.291214e-22 2.421579e-07 3.209624e-12 2.318112e-23
1.54443e-06    1.361480e-07 -1.730805e-10 -1.057571e-22 -9.148853e-08 -1.748291e-10 -1.291221e-22 2.276365e-07 1.748574e-12 2.336506e-23
1.68061e-06    1.497288e-07 -1.129832e-10 -1.055534e-22 -6.518837e-08 -1.137639e-10 -1.291207e-22 2.149172e-07 7.807214e-13 2.356725e-23
1.8187e-06     1.771394e-07 -6.273334e-11 -1.053222e-22 -2.661000e-08 -6.295996e-11 -1.291179e-22 2.037494e-07 2.266164e-13 2.379574e-23
1.95876e-06    2.070354e-07 -2.756905e-11 -1.050882e-22 1.312390e-08 -2.750494e-11 -1.291149e-22 1.939115e-07 -6.411374e-14 2.402671e-23
2.10064e-06    2.338044e-07 -2.767726e-12 -1.048732e-22 4.859164e-08 -2.622212e-12 -1.291121e-22 1.852127e-07 -1.455144e-13 2.423895e-23
2.24419e-06    2.549130e-07 1.117696e-11 -1.046816e-22 7.743464e-08 1.130419e-11 -1.291098e-22 1.774784e-07 -1.272297e-13 2.442823e-23
2.38944e-06    2.698908e-07 1.881460e-11 -1.044887e-22 9.934053e-08 1.888507e-11 -1.291081e-22 1.705502e-07 -7.047251e-14 2.461947e-23
2.53645e-06    2.793169e-07 1.835368e-11 -1.042946e-22 1.150202e-07 1.835682e-11 -1.291069e-22 1.642967e-07 -3.146640e-15 2.481230e-23
2.68502e-06    2.840558e-07 1.848114e-11 -1.041240e-22 1.254412e-07 1.840409e-11 -1.291062e-22 1.586145e-07 7.704907e-14 2.498218e-23
2.83405e-06    2.854328e-07 1.017469e-11 -1.040797e-22 1.319806e-07 1.011043e-11 -1.291058e-22 1.534522e-07 6.425874e-14 2.502610e-23
2.98353e-06    2.843836e-07 5.634778e-12 -1.040331e-22 1.356523e-07 5.598853e-12 -1.291056e-22 1.487313e-07 3.592483e-14 2.507250e-23
3.13325e-06    2.818091e-07 1.461600e-11 -1.040120e-22 1.374129e-07 1.448796e-11 -1.291056e-22 1.443963e-07 1.280469e-13 2.509363e-23
3.28343e-06    2.783017e-07 1.582998e-11 -1.039634e-22 1.379102e-07 1.561252e-11 -1.291057e-22 1.403915e-07 2.174559e-13 2.514230e-23
3.43408e-06    2.743213e-07 1.334571e-11 -1.039170e-22 1.376425e-07 1.306689e-11 -1.291060e-22 1.366788e-07 2.788180e-13 2.518903e-23
3.58496e-06    2.702676e-07 1.125656e-11 -1.038974e-22 1.370336e-07 1.094191e-11 -1.291064e-22 1.332340e-07 3.146486e-13 2.520896e-23
3.73632e-06    2.664806e-07 1.307278e-11 -1.038518e-22 1.364504e-07 1.271300e-11 -1.291066e-22 1.300302e-07 3.597850e-13 2.525488e-23
3.88792e-06    2.629990e-07 1.213466e-11 -1.038319e-22 1.359471e-07 1.174991e-11 -1.291069e-22 1.270519e-07 3.847504e-13 2.527500e-23
4.03975e-06    2.597320e-07 1.292429e-11 -1.038121e-22 1.354535e-07 1.252051e-11 -1.291070e-22 1.242785e-07 4.037871e-13 2.529492e-23
4.19207e-06    2.567080e-07 1.297287e-11 -1.037663e-22 1.350207e-07 1.254147e-11 -1.291072e-22 1.216872e-07 4.313914e-13 2.534088e-23
4.34488e-06    2.539623e-07 1.306251e-11 -1.037211e-22 1.347009e-07 1.259911e-11 -1.291074e-22 1.192614e-07 4.633999e-13 2.538632e-23
4.49792e-06    2.512603e-07 1.208722e-11 -1.037009e-22 1.342743e-07 1.161062e-11 -1.291075e-22 1.169860e-07 4.766000e-13 2.540659e-23
4.65146e-06    2.487222e-07 1.268046e-11 -1.036521e-22 1.338780e-07 1.218761e-11 -1.291076e-22 1.148442e-07 4.928532e-13 2.545545e-23
4.8055e-06     2.464036e-07 1.375061e-11 -1.036035e-22 1.335781e-07 1.323362e-11 -1.291077e-22 1.128255e-07 5.169874e-13 2.550418e-23
4.96004e-06    2.442765e-07 1.448527e-11 -1.035553e-22 1.333558e-07 1.394146e-11 -1.291078e-22 1.109207e-07 5.438041e-13 2.555249e-23
5.11508e-06    2.423243e-07 1.493422e-11 -1.035071e-22 1.332035e-07 1.436244e-11 -1.291080e-22 1.091208e-07 5.717799e-13 2.560083e-23
5.27063e-06    2.405543e-07 1.583120e-11 -1.034585e-22 1.331366e-07 1.522563e-11 -1.291081e-22 1.074177e-07 6.055725e-13 2.564951e-23
5.42643e-06    2.389432e-07 1.494279e-11 -1.034376e-22 1.331373e-07 1.431173e-11 -1.291081e-22 1.058059e-07 6.310624e-13 2.567052e-23
5.58275e-06    2.374678e-07 1.466760e-11 -1.033884e-22 1.331928e-07 1.401202e-11 -1.291082e-22 1.042750e-07 6.555803e-13 2.571985e-23
5.73959e-06    2.361215e-07 1.498300e-11 -1.033378e-22 1.333038e-07 1.430009e-11 -1.291083e-22 1.028177e-07 6.829055e-13 2.577050e-23
5.89695e-06    2.349249e-07 1.394319e-11 -1.032883e-22 1.334976e-07 1.324175e-11 -1.291083e-22 1.014273e-07 7.014346e-13 2.582008e-23
6.05485e-06    2.338186e-07 1.592960e-11 -1.032431e-22 1.337228e-07 1.519960e-11 -1.291084e-22 1.000958e-07 7.299939e-13 2.586528e-23
6.21327e-06    2.327511e-07 1.559644e-11 -1.032078e-22 1.339324e-07 1.484912e-11 -1.291084e-22 9.881879e-08 7.473211e-13 2.590063e-23
6.37196e-06    2.316960e-07 1.551450e-11 -1.031985e-22 1.341010e-07 1.474909e-11 -1.291085e-22 9.759496e-08 7.654038e-13 2.590995e-23
6.53119e-06    2.306310e-07 1.502294e-11 -1.031516e-22 1.342119e-07 1.424492e-11 -1.291085e-22 9.641914e-08 7.780189e-13 2.595691e-23
6.69069e-06    2.295778e-07 1.440924e-11 -1.031321e-22 1.342879e-07 1.361873e-11 -1.291085e-22 9.528991e-08 7.905160e-13 2.597646e-23
6.85075e-06    2.285338e-07 1.422731e-11 -1.030862e-22 1.343313e-07 1.342427e-11 -1.291086e-22 9.420257e-08 8.030379e-13 2.602240e-23
7.01107e-06    2.275732e-07 1.113575e-11 -1.030138e-22 1.344170e-07 1.034408e-11 -1.291085e-22 9.315618e-08 7.916652e-13 2.609474e-23
7.17195e-06    2.266014e-07 1.132191e-11 -1.029548e-22 1.344550e-07 1.052280e-11 -1.291086e-22 9.214644e-08 7.991065e-13 2.615371e-23
7.33311e-06    2.257173e-07 1.263433e-11 -1.029361e-22 1.345441e-07 1.182282e-11 -1.291086e-22 9.117318e-08 8.115166e-13 2.617240e-23
7.49483e-06    2.249312e-07 1.229723e-11 -1.028856e-22 1.346980e-07 1.147309e-11 -1.291085e-22 9.023322e-08 8.241363e-13 2.622288e-23
7.65684e-06    2.242177e-07 1.346111e-11 -1.028196e-22 1.348904e-07 1.262014e-11 -1.291085e-22 8.932724e-08 8.409646e-13 2.628884e-23
7.81941e-06    2.235769e-07 1.306238e-11 -1.027647e-22 1.351217e-07 1.219942e-11 -1.291084e-22 8.845513e-08 8.629595e-13 2.634377e-23
7.98228e-06    2.230830e-07 1.437085e-11 -1.027423e-22 1.354663e-07 1.347689e-11 -1.291084e-22 8.761668e-08 8.939598e-13 2.636614e-23
8.14543e-06    2.226574e-07 1.565294e-11 -1.027170e-22 1.358464e-07 1.473210e-11 -1.291084e-22 8.681100e-08 9.208427e-13 2.639140e-23
8.30916e-06    2.223508e-07 1.490522e-11 -1.026611e-22 1.363161e-07 1.393840e-11 -1.291083e-22 8.603467e-08 9.668179e-13 2.644724e-23
8.47319e-06    2.221603e-07 1.484783e-11 -1.026351e-22 1.368728e-07 1.384528e-11 -1.291083e-22 8.528745e-08 1.002553e-12 2.647315e-23
8.63751e-06    2.220133e-07 1.515165e-11 -1.025399e-22 1.374452e-07 1.412271e-11 -1.291083e-22 8.456814e-08 1.028937e-12 2.656832e-23
8.80213e-06    2.219234e-07 1.554588e-11 -1.025157e-22 1.380478e-07 1.449689e-11 -1.291082e-22 8.387564e-08 1.048996e-12 2.659251e-23
8.96704e-06    2.218705e-07 1.799105e-11 -1.024911e-22 1.386618e-07 1.689827e-11 -1.291082e-22 8.320871e-08 1.092774e-12 2.661707e-23
9.13226e-06    2.218713e-07 1.902447e-11 -1.024644e-22 1.393063e-07 1.787748e-11 -1.291081e-22 8.256507e-08 1.146986e-12 2.664374e-23
9.29777e-06    2.218821e-07 1.745412e-11 -1.024341e-22 1.399380e-07 1.626187e-11 -1.291081e-22 8.194416e-08 1.192249e-12 2.667396e-23
9.46359e-06    2.218822e-07 1.770352e-11 -1.024058e-22 1.405376e-07 1.646356e-11 -1.291081e-22 8.134457e-08 1.239953e-12 2.670229e-23
