# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1.82815e-07    -3.071882e-15 7.879178e-11 -7.893790e-16 -2.940414e-15 7.551845e-11 8.711076e-18 -1.314683e-16 3.273334e-12 -7.980901e-16
3.4512e-07     -1.830733e-15 5.670561e-11 -8.748978e-16 -1.666431e-15 5.360235e-11 5.393534e-18 -1.643026e-16 3.103256e-12 -8.802913e-16
4.90389e-07    -3.549605e-15 3.681054e-11 -9.070373e-16 -3.385298e-15 3.382238e-11 3.262493e-18 -1.643071e-16 2.988154e-12 -9.102998e-16
6.26331e-07    -3.263742e-15 2.279235e-11 -8.494605e-16 -3.104989e-15 1.993312e-11 1.199835e-18 -1.587528e-16 2.859230e-12 -8.506604e-16
7.57258e-07    -1.024358e-15 1.381316e-11 -7.890716e-16 -8.827095e-16 1.110704e-11 -6.193472e-19 -1.416488e-16 2.706121e-12 -7.884523e-16
8.86481e-07    8.273294e-16 8.122491e-12 -7.251478e-16 9.440816e-16 5.586468e-12 -5.794514e-19 -1.167522e-16 2.536024e-12 -7.245684e-16
1.01553e-06    2.387994e-15 4.677726e-12 -6.679503e-16 2.476999e-15 2.319101e-12 -1.326791e-18 -8.900431e-17 2.358625e-12 -6.666236e-16
1.14561e-06    2.553928e-15 2.781152e-12 -6.095733e-16 2.617424e-15 5.921321e-13 -1.371970e-18 -6.349540e-17 2.189020e-12 -6.082013e-16
1.27706e-06    2.337366e-15 1.734141e-12 -5.564492e-16 2.379032e-15 -3.046085e-13 -1.441061e-18 -4.166582e-17 2.038749e-12 -5.550082e-16
1.40993e-06    1.874141e-15 1.217169e-12 -5.105562e-16 1.899428e-15 -6.906720e-13 -1.382126e-18 -2.528702e-17 1.907841e-12 -5.091741e-16
1.54443e-06    1.363615e-15 1.072642e-12 -4.719017e-16 1.377391e-15 -7.207924e-13 -1.323320e-18 -1.377614e-17 1.793434e-12 -4.705784e-16
1.68061e-06    8.901378e-16 1.179639e-12 -4.389128e-16 8.962888e-16 -5.135866e-13 -1.268447e-18 -6.150913e-18 1.693225e-12 -4.376444e-16
1.8187e-06     4.942446e-16 1.395592e-12 -4.106419e-16 4.960300e-16 -2.096469e-13 -1.210064e-18 -1.785397e-18 1.605239e-12 -4.094319e-16
1.95876e-06    2.172028e-16 1.631128e-12 -3.861574e-16 2.166977e-16 1.033966e-13 -1.158841e-18 5.051201e-19 1.527732e-12 -3.849986e-16
2.10064e-06    2.180553e-17 1.842028e-12 -3.648769e-16 2.065910e-17 3.828292e-13 -1.113764e-18 1.146435e-18 1.459199e-12 -3.637631e-16
2.24419e-06    -8.805770e-17 2.008332e-12 -3.461416e-16 -8.906007e-17 6.100688e-13 -1.076157e-18 1.002379e-18 1.398263e-12 -3.450654e-16
2.38944e-06    -1.482308e-16 2.126334e-12 -3.294358e-16 -1.487860e-16 7.826543e-13 -1.046091e-18 5.552176e-19 1.343680e-12 -3.283898e-16
2.53645e-06    -1.445995e-16 2.200598e-12 -3.144110e-16 -1.446242e-16 9.061864e-13 -1.022511e-18 2.479080e-20 1.294411e-12 -3.133885e-16
2.68502e-06    -1.456037e-16 2.237933e-12 -3.009411e-16 -1.449966e-16 9.882887e-13 -1.004121e-18 -6.070311e-19 1.249645e-12 -2.999370e-16
2.83405e-06    -8.016130e-17 2.248782e-12 -2.890087e-16 -7.965503e-17 1.039809e-12 -9.897308e-19 -5.062625e-19 1.208973e-12 -2.880189e-16
2.98353e-06    -4.439360e-17 2.240516e-12 -2.782933e-16 -4.411057e-17 1.068737e-12 -9.783179e-19 -2.830337e-19 1.171779e-12 -2.773149e-16
3.13325e-06    -1.151522e-16 2.220233e-12 -2.689490e-16 -1.141434e-16 1.082607e-12 -9.691778e-19 -1.008817e-18 1.137626e-12 -2.679798e-16
3.28343e-06    -1.247165e-16 2.192600e-12 -2.606186e-16 -1.230033e-16 1.086525e-12 -9.603106e-19 -1.713227e-18 1.106075e-12 -2.596583e-16
3.43408e-06    -1.051442e-16 2.161240e-12 -2.532316e-16 -1.029475e-16 1.084416e-12 -9.518331e-19 -2.196668e-18 1.076824e-12 -2.522798e-16
3.58496e-06    -8.868479e-17 2.129304e-12 -2.464997e-16 -8.620583e-17 1.079619e-12 -9.439940e-19 -2.478959e-18 1.049684e-12 -2.455557e-16
3.73632e-06    -1.029939e-16 2.099467e-12 -2.405628e-16 -1.001594e-16 1.075024e-12 -9.372298e-19 -2.834566e-18 1.024443e-12 -2.396255e-16
3.88792e-06    -9.560291e-17 2.072038e-12 -2.353263e-16 -9.257165e-17 1.071059e-12 -9.307931e-19 -3.031256e-18 1.000979e-12 -2.343955e-16
4.03975e-06    -1.018240e-16 2.046298e-12 -2.306891e-16 -9.864280e-17 1.067170e-12 -9.243970e-19 -3.181237e-18 9.791283e-13 -2.297647e-16
4.19207e-06    -1.022067e-16 2.022474e-12 -2.265753e-16 -9.880801e-17 1.063761e-12 -9.176904e-19 -3.398717e-18 9.587129e-13 -2.256576e-16
4.34488e-06    -1.029129e-16 2.000842e-12 -2.228803e-16 -9.926205e-17 1.061241e-12 -9.106526e-19 -3.650896e-18 9.396009e-13 -2.219697e-16
4.49792e-06    -9.522915e-17 1.979554e-12 -2.196411e-16 -9.147425e-17 1.057880e-12 -9.038612e-19 -3.754893e-18 9.216745e-13 -2.187373e-16
4.65146e-06    -9.990302e-17 1.959558e-12 -2.167553e-16 -9.602007e-17 1.054758e-12 -8.970835e-19 -3.882944e-18 9.047997e-13 -2.158582e-16
