# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1.82815e-09    1.179730e-06 1.168224e-10 9.977190e-25 7.875621e-07 1.005430e-10 1.018035e-24 3.921682e-07 1.627934e-11 -2.031625e-26
3.83251e-09    1.587417e-06 6.219215e-11 1.011574e-24 1.251347e-06 1.016977e-11 1.029890e-24 3.360699e-07 5.202238e-11 -1.831639e-26
5.96564e-09    1.728115e-06 3.509204e-12 1.020174e-24 1.437589e-06 -5.854720e-11 1.029796e-24 2.905253e-07 6.205640e-11 -9.622129e-27
8.08511e-09    1.715226e-06 8.477715e-11 1.013204e-24 1.458391e-06 2.467013e-11 1.023734e-24 2.568357e-07 6.010701e-11 -1.052995e-26
1.01388e-08    1.641122e-06 1.363790e-10 1.006112e-24 1.408539e-06 8.353715e-11 1.018911e-24 2.325832e-07 5.284189e-11 -1.279885e-26
1.21264e-08    1.553550e-06 1.349818e-10 1.004957e-24 1.338326e-06 9.020925e-11 1.016704e-24 2.152236e-07 4.477254e-11 -1.174716e-26
1.40521e-08    1.473420e-06 1.266719e-10 1.003469e-24 1.270601e-06 8.854587e-11 1.016448e-24 2.028190e-07 3.812608e-11 -1.297830e-26
1.59265e-08    1.403524e-06 1.131589e-10 1.004146e-24 1.209899e-06 8.083163e-11 1.017301e-24 1.936251e-07 3.232725e-11 -1.315531e-26
1.77591e-08    1.340996e-06 9.919099e-11 1.002715e-24 1.154468e-06 7.132440e-11 1.017054e-24 1.865280e-07 2.786659e-11 -1.433917e-26
1.95548e-08    1.283035e-06 1.071471e-10 1.002775e-24 1.102327e-06 8.277951e-11 1.016421e-24 1.807085e-07 2.436762e-11 -1.364595e-26
2.13213e-08    1.229092e-06 9.913640e-11 1.000234e-24 1.053329e-06 7.804487e-11 1.015836e-24 1.757629e-07 2.109153e-11 -1.560206e-26
2.30628e-08    1.178446e-06 1.116859e-10 1.002414e-24 1.006999e-06 9.281938e-11 1.015525e-24 1.714469e-07 1.886651e-11 -1.311069e-26
2.47858e-08    1.129958e-06 1.119410e-10 9.994225e-25 9.623355e-07 9.539809e-11 1.015296e-24 1.676222e-07 1.654293e-11 -1.587308e-26
2.64907e-08    1.083652e-06 1.141985e-10 1.001650e-24 9.194481e-07 9.886043e-11 1.014994e-24 1.642038e-07 1.533811e-11 -1.334408e-26
2.81837e-08    1.039480e-06 1.112722e-10 9.994962e-25 8.783762e-07 9.717823e-11 1.014542e-24 1.611041e-07 1.409401e-11 -1.504622e-26
2.98564e-08    9.977235e-07 1.073363e-10 9.997611e-25 8.394503e-07 9.420492e-11 1.013880e-24 1.582733e-07 1.313135e-11 -1.411912e-26
3.15035e-08    9.585475e-07 9.416861e-11 9.991474e-25 8.028802e-07 8.240498e-11 1.013152e-24 1.556673e-07 1.176363e-11 -1.400465e-26
3.3134e-08     9.217829e-07 7.853524e-11 9.983184e-25 7.685464e-07 6.787481e-11 1.012490e-24 1.532364e-07 1.066043e-11 -1.417141e-26
3.47454e-08    8.874082e-07 5.600058e-11 9.983400e-25 7.364519e-07 4.640968e-11 1.011870e-24 1.509563e-07 9.590908e-12 -1.353009e-26
3.63409e-08    8.551546e-07 6.148658e-11 9.965918e-25 7.063563e-07 5.129501e-11 1.011139e-24 1.487983e-07 1.019157e-11 -1.454758e-26
