# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1.82815e-09    -9.203850e-17 9.294505e-13 -1.149455e-16 -7.921282e-17 6.204808e-13 7.770806e-20 -1.282568e-17 3.089697e-13 -1.150232e-16
3.83251e-09    -4.899809e-17 1.250647e-12 5.458880e-17 -8.012256e-18 9.858738e-13 1.176322e-19 -4.098583e-17 2.647727e-13 5.447117e-17
5.96564e-09    -2.764726e-18 1.361495e-12 1.212802e-16 4.612641e-17 1.132605e-12 1.480895e-19 -4.889114e-17 2.288904e-13 1.211321e-16
8.08511e-09    -6.679168e-17 1.351341e-12 1.273240e-16 -1.943637e-17 1.148993e-12 1.604852e-19 -4.735531e-17 2.023480e-13 1.271636e-16
1.01388e-08    -1.074462e-16 1.292958e-12 1.191225e-16 -6.581474e-17 1.109717e-12 1.656690e-19 -4.163148e-17 1.832407e-13 1.189568e-16
1.21264e-08    -1.063454e-16 1.223964e-12 1.066190e-16 -7.107136e-17 1.054401e-12 1.370302e-19 -3.527405e-17 1.695639e-13 1.064820e-16
1.40521e-08    -9.979849e-17 1.160834e-12 9.205075e-17 -6.976086e-17 1.001043e-12 1.306633e-19 -3.003763e-17 1.597910e-13 9.192008e-17
1.59265e-08    -8.915222e-17 1.105767e-12 7.834725e-17 -6.368320e-17 9.532192e-13 1.121295e-19 -2.546902e-17 1.525476e-13 7.823512e-17
1.77591e-08    -7.814762e-17 1.056504e-12 6.476482e-17 -5.619293e-17 9.095475e-13 8.454600e-20 -2.195469e-17 1.469561e-13 6.468027e-17
1.95548e-08    -8.441587e-17 1.010839e-12 5.372083e-17 -6.521784e-17 8.684681e-13 7.087186e-20 -1.919803e-17 1.423712e-13 5.364996e-17
2.13213e-08    -7.810461e-17 9.683402e-13 4.334862e-17 -6.148765e-17 8.298654e-13 5.570360e-20 -1.661696e-17 1.384748e-13 4.329291e-17
2.30628e-08    -8.799173e-17 9.284390e-13 3.351648e-17 -7.312775e-17 7.933645e-13 3.790408e-20 -1.486398e-17 1.350744e-13 3.347858e-17
2.47858e-08    -8.819273e-17 8.902372e-13 2.477679e-17 -7.515938e-17 7.581760e-13 2.645415e-20 -1.303335e-17 1.320611e-13 2.475034e-17
2.64907e-08    -8.997132e-17 8.537551e-13 1.532313e-17 -7.788719e-17 7.243871e-13 9.989720e-21 -1.208413e-17 1.293680e-13 1.531314e-17
2.81837e-08    -8.766584e-17 8.189546e-13 7.894029e-18 -7.656187e-17 6.920287e-13 -1.685361e-21 -1.110397e-17 1.269259e-13 7.895715e-18
2.98564e-08    -8.456488e-17 7.860565e-13 3.242549e-19 -7.421935e-17 6.613609e-13 -1.832553e-20 -1.034553e-17 1.246956e-13 3.425804e-19
3.15035e-08    -7.419074e-17 7.551916e-13 -6.282023e-18 -6.492276e-17 6.325491e-13 -2.834131e-20 -9.267977e-18 1.226425e-13 -6.253681e-18
3.3134e-08     -6.187399e-17 7.262266e-13 -1.107151e-17 -5.347517e-17 6.054993e-13 -4.695423e-20 -8.398820e-18 1.207273e-13 -1.102456e-17
3.47454e-08    -4.412006e-17 6.991445e-13 -1.422972e-17 -3.656386e-17 5.802136e-13 -5.639245e-20 -7.556197e-18 1.189309e-13 -1.417332e-17
3.63409e-08    -4.844220e-17 6.737335e-13 -1.575941e-17 -4.041277e-17 5.565028e-13 -6.896640e-20 -8.029429e-18 1.172307e-13 -1.569044e-17
3.79206e-08    -4.663310e-17 6.498116e-13 -1.231447e-17 -3.811320e-17 5.342010e-13 -7.854748e-20 -8.519898e-18 1.156106e-13 -1.223593e-17
3.94875e-08    -7.082539e-17 6.271224e-13 -7.758657e-18 -6.016877e-17 5.130702e-13 -9.044738e-20 -1.065662e-17 1.140523e-13 -7.668210e-18
4.10418e-08    -8.821195e-17 6.055717e-13 -1.593853e-19 -7.550765e-17 4.930228e-13 -9.823366e-20 -1.270430e-17 1.125489e-13 -6.115163e-20
4.2586e-08     -1.037109e-16 5.850327e-13 5.665101e-18 -8.918655e-17 4.739413e-13 -1.076924e-19 -1.452440e-17 1.110914e-13 5.772793e-18
4.41203e-08    -1.166119e-16 5.654563e-13 1.278959e-17 -1.002213e-16 4.557799e-13 -1.108592e-19 -1.639065e-17 1.096764e-13 1.290045e-17
4.56473e-08    -1.386243e-16 5.467469e-13 1.868721e-17 -1.197058e-16 4.384502e-13 -1.161719e-19 -1.891849e-17 1.082967e-13 1.880338e-17
4.71669e-08    -1.561139e-16 5.288713e-13 2.565215e-17 -1.349592e-16 4.219205e-13 -1.160420e-19 -2.115470e-17 1.069508e-13 2.576819e-17
4.86818e-08    -1.735634e-16 5.117487e-13 2.881719e-17 -1.506706e-16 4.061142e-13 -1.197688e-19 -2.289273e-17 1.056345e-13 2.893695e-17
5.01894e-08    -1.801364e-16 4.953839e-13 3.022412e-17 -1.562709e-16 3.910345e-13 -1.210047e-19 -2.386543e-17 1.043494e-13 3.034513e-17
