# Force coefficients        
# liftDir                   : (-2.39732967011547337677e-01 9.70838866407726985841e-01 0.00000000000000000000e+00)
# dragDir                   : (9.70838866407726985841e-01 2.39732967011547337677e-01 0.00000000000000000000e+00)
# pitchAxis                 : (0.00000000000000000000e+00 0.00000000000000000000e+00 1.00000000000000000000e+00)
# magUInf                   : 6.18022000000000048203e+02
# lRef                      : 1.00000000000000000000e+00
# Aref                      : 1.00000000000000000000e+00
# CofR                      : (0.00000000000000000000e+00 0.00000000000000000000e+00 0.00000000000000000000e+00)
# Time                      	Cm                          	Cd                          	Cl                          	Cl(f)                       	Cl(r)                       
0                           	7.55415071634698291721e-15	4.68844202609960347683e-01	-1.15773498205500743885e-01	-5.78867491027428154871e-02	-5.78867491027579283980e-02
4.8e-50                     	7.55595055389265774603e-15	4.68844202609960347683e-01	-1.15773498205500813274e-01	-5.78867491027428501815e-02	-5.78867491027579630924e-02
1.056e-49                   	7.55714114410374925051e-15	4.68844202609960347683e-01	-1.15773498205500813274e-01	-5.78867491027428501815e-02	-5.78867491027579630924e-02
1.7472e-49                  	7.55593195092060870171e-15	4.68844202609960347683e-01	-1.15773498205500743885e-01	-5.78867491027428154871e-02	-5.78867491027579283980e-02
2.57664e-49                 	7.51547978820154587232e-15	4.68844202609960347683e-01	-1.15773498205500660618e-01	-5.78867491027428154871e-02	-5.78867491027578451313e-02
3.57197e-49                 	7.47914818379118227555e-15	4.68844202609960236661e-01	-1.15773498205500646741e-01	-5.78867491027428432426e-02	-5.78867491027578034979e-02
4.76636e-49                 	7.47674840039695022227e-15	4.68844202609960347683e-01	-1.15773498205500660618e-01	-5.78867491027428501815e-02	-5.78867491027578104368e-02
6.19963e-49                 	7.51606113107805563019e-15	4.68844202609960403194e-01	-1.15773498205500591229e-01	-5.78867491027427807926e-02	-5.78867491027578104368e-02
7.91956e-49                 	7.47499507028139642652e-15	4.68844202609960403194e-01	-1.15773498205500591229e-01	-5.78867491027428224259e-02	-5.78867491027577688034e-02
9.98347e-49                 	7.47498111805236043215e-15	4.68844202609960403194e-01	-1.15773498205500591229e-01	-5.78867491027428224259e-02	-5.78867491027577688034e-02
1.24602e-48                 	7.47379517858428039989e-15	4.68844202609960403194e-01	-1.15773498205500591229e-01	-5.78867491027428224259e-02	-5.78867491027577688034e-02
1.54322e-48                 	7.47616705752044046441e-15	4.68844202609960347683e-01	-1.15773498205500743885e-01	-5.78867491027428987538e-02	-5.78867491027578451313e-02
1.89986e-48                 	7.47734834624550902445e-15	4.68844202609960347683e-01	-1.15773498205500743885e-01	-5.78867491027428918149e-02	-5.78867491027578520701e-02
2.32784e-48                 	7.47617635900646498657e-15	4.68844202609960181150e-01	-1.15773498205500702252e-01	-5.78867491027428779371e-02	-5.78867491027578243146e-02
2.8414e-48                  	7.47617635900646498657e-15	4.68844202609960181150e-01	-1.15773498205500632863e-01	-5.78867491027428432426e-02	-5.78867491027577896201e-02
3.45769e-48                 	7.51546583597250830023e-15	4.68844202609960236661e-01	-1.15773498205500480207e-01	-5.78867491027427252814e-02	-5.78867491027577549256e-02
4.19722e-48                 	7.43570094257234006292e-15	4.68844202609960236661e-01	-1.15773498205500480207e-01	-5.78867491027428016093e-02	-5.78867491027576785978e-02
5.08467e-48                 	7.51426129353238080137e-15	4.68844202609960236661e-01	-1.15773498205500646741e-01	-5.78867491027428085482e-02	-5.78867491027578381924e-02
6.1496e-48                  	7.55237413251636860493e-15	4.68844202609960347683e-01	-1.15773498205500577352e-01	-5.78867491027427391592e-02	-5.78867491027578381924e-02
7.42752e-48                 	7.51458219480021340516e-15	4.68844202609960347683e-01	-1.15773498205500577352e-01	-5.78867491027427738537e-02	-5.78867491027578034979e-02
8.96102e-48                 	7.47618100974947645878e-15	4.68844202609960236661e-01	-1.15773498205500549596e-01	-5.78867491027428016093e-02	-5.78867491027577479867e-02
1.08012e-47                 	7.47497646730934738221e-15	4.68844202609960236661e-01	-1.15773498205500549596e-01	-5.78867491027428016093e-02	-5.78867491027577479867e-02
1.30095e-47                 	7.47676700336899926659e-15	4.68844202609960236661e-01	-1.15773498205500480207e-01	-5.78867491027427599759e-02	-5.78867491027577202312e-02
1.56594e-47                 	7.47677630485502221102e-15	4.68844202609960236661e-01	-1.15773498205500549596e-01	-5.78867491027427946704e-02	-5.78867491027577549256e-02
1.88392e-47                 	7.47677630485502221102e-15	4.68844202609960236661e-01	-1.15773498205500549596e-01	-5.78867491027427946704e-02	-5.78867491027577549256e-02
2.26551e-47                 	7.47677630485502221102e-15	4.68844202609960236661e-01	-1.15773498205500549596e-01	-5.78867491027427946704e-02	-5.78867491027577549256e-02
2.72341e-47                 	7.47678095559803526096e-15	4.68844202609960236661e-01	-1.15773498205500549596e-01	-5.78867491027427946704e-02	-5.78867491027577549256e-02
3.27289e-47                 	7.47795759358009077107e-15	4.68844202609960403194e-01	-1.15773498205500507963e-01	-5.78867491027427738537e-02	-5.78867491027577341089e-02
3.93227e-47                 	7.47796224432310224329e-15	4.68844202609960347683e-01	-1.15773498205500660618e-01	-5.78867491027428501815e-02	-5.78867491027578104368e-02
4.72353e-47                 	7.47825524113286443605e-15	4.68844202609960236661e-01	-1.15773498205500646741e-01	-5.78867491027428432426e-02	-5.78867491027578034979e-02
