# Residuals                 
# Time                      	p                           	Ux                          	Uy                          	e                           	k                           	omega                       
0                           	N/A                         	N/A                         	N/A                         	N/A                         	N/A                         	N/A                         
4.8e-15                     	9.99977647390870028055e-01	5.53286786329134749884e-01	1.00000000000000000000e+00	8.07445076516498376647e-06	9.99671924957594049133e-01	3.81821122529680860488e-11
1.056e-14                   	4.32125911806853326422e-08	2.91125511676077857861e-08	1.61190922875759576338e-02	1.30705744602538425946e-07	5.65495622094782401278e-06	5.90529386732874516290e-12
1.7472e-14                  	4.37592575434589007238e-08	1.29360652612813614534e-08	2.60429725685632201121e-03	1.29485889963452960480e-07	3.07876543347741776909e-06	5.64069311073912478037e-12
2.57664e-14                 	4.39765188976254203762e-08	8.06622985242322283698e-09	8.95999254148023018506e-04	1.50169838455426344174e-07	2.23245345799334418016e-06	5.02848032505947398516e-12
3.57197e-14                 	4.33282689094601112483e-08	5.38293459564839383415e-09	4.39561620076676137347e-04	1.40454347851505793753e-07	1.81642216661822163864e-06	4.57172012509338608923e-12
4.76636e-14                 	4.38701840703522148621e-08	4.43754954978747755779e-09	2.54289043044821549879e-04	1.45463896974741141708e-07	1.57243512980912486400e-06	4.08236843020663182149e-12
6.19963e-14                 	4.39245052000957137466e-08	2.96420425658525172429e-09	1.59523757254961600846e-04	1.38469835045029679827e-07	1.41413835031176204934e-06	3.73690697492823193210e-12
7.91956e-14                 	4.44292566586594132845e-08	2.24641716579921680979e-09	1.05324871185057507761e-04	1.35279559209253923767e-07	1.30478091586866055551e-06	3.49499959726779711514e-12
9.98347e-14                 	4.39191931569240465996e-08	1.79878823333347016776e-09	7.84784641674564001487e-05	1.38482521077959714217e-07	1.22587903203092067161e-06	3.32302070677158939295e-12
1.24602e-13                 	4.42485816788208828559e-08	1.47110492050827416963e-09	6.51717430589333971943e-05	1.33464742800240387024e-07	1.16711582289191131668e-06	3.21339907784074612018e-12
1.54322e-13                 	4.46532839057426839232e-08	1.37575062307144197070e-09	5.76863760153367019436e-05	1.62522646262674252684e-07	1.12238253989127424021e-06	3.12377316899817613405e-12
1.89986e-13                 	4.49497919965215222539e-08	9.26720666003253084523e-10	5.36729389570309730847e-05	1.31811266673802745499e-07	1.08765840595078217251e-06	3.04304055246240827873e-12
2.32784e-13                 	4.48629459254426102806e-08	7.96754252532759800643e-10	5.25833468602009089228e-05	1.30883472164291079237e-07	1.06045008488408051074e-06	2.97382784156115916134e-12
2.8414e-13                  	4.55170548631232187576e-08	7.27999103026737811048e-10	5.44562437702829189802e-05	1.46220566025929620896e-07	1.03887235616572983880e-06	2.91642675153390634611e-12
3.45769e-13                 	4.61990616660079098336e-08	6.50453730939246145067e-10	6.17139961415322138138e-05	1.68469249729523829514e-07	1.02166077018574976435e-06	2.86970412108974047736e-12
4.19722e-13                 	4.65328347796734897616e-08	4.62548063672375875416e-10	8.66583199864112788688e-05	1.43145066981838879576e-07	1.00790643539439046709e-06	2.83299535864097857632e-12
