# Force and moment coefficients
# dragDir     : (9.708389e-01 2.397330e-01 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (-2.397330e-01 9.708389e-01 0.000000e+00)
# rollAxis    : (9.708389e-01 2.397330e-01 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (-2.397330e-01 9.708389e-01 0.000000e+00)
# magUInf     : 6.180220e+02
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
0.0002        	2.468690e-01	-1.574247e-01	4.042937e-01	5.617184e-01	-5.965317e-02	6.213716e-01	-3.405124e-01	-2.808592e-01	1.234345e-01	-4.117820e-22	1.234345e-01	-1.234345e-01
0.0004        	2.437801e-01	-1.553100e-01	3.990901e-01	5.544001e-01	-5.891373e-02	6.133138e-01	-3.361138e-01	-2.772000e-01	1.218900e-01	-5.009609e-22	1.218900e-01	-1.218900e-01
0.0006        	2.437695e-01	-1.528238e-01	3.965933e-01	5.494171e-01	-5.689137e-02	6.063084e-01	-3.315999e-01	-2.747085e-01	1.218847e-01	-6.102046e-22	1.218847e-01	-1.218847e-01
0.0008        	2.456155e-01	-1.516735e-01	3.972890e-01	5.489625e-01	-5.613301e-02	6.050955e-01	-3.306143e-01	-2.744812e-01	1.228077e-01	-8.039264e-22	1.228077e-01	-1.228077e-01
0.001         	2.468471e-01	-1.504936e-01	3.973407e-01	5.478343e-01	-5.361866e-02	6.014529e-01	-3.275358e-01	-2.739171e-01	1.234235e-01	-7.757504e-22	1.234235e-01	-1.234235e-01
0.0012        	2.501356e-01	-1.493316e-01	3.994672e-01	5.487988e-01	-5.179558e-02	6.005943e-01	-3.261950e-01	-2.743994e-01	1.250678e-01	-6.931228e-22	1.250678e-01	-1.250678e-01
0.0014        	2.529820e-01	-1.505241e-01	4.035062e-01	5.540303e-01	-5.159742e-02	6.056277e-01	-3.286126e-01	-2.770152e-01	1.264910e-01	-5.883181e-22	1.264910e-01	-1.264910e-01
0.0016        	2.559642e-01	-1.519709e-01	4.079351e-01	5.599061e-01	-5.160696e-02	6.115130e-01	-3.315600e-01	-2.799530e-01	1.279821e-01	-4.858481e-22	1.279821e-01	-1.279821e-01
0.0018        	2.583001e-01	-1.533891e-01	4.116891e-01	5.650782e-01	-5.170547e-02	6.167836e-01	-3.342446e-01	-2.825391e-01	1.291500e-01	-3.726933e-22	1.291500e-01	-1.291500e-01
0.002         	2.600693e-01	-1.552495e-01	4.153188e-01	5.705682e-01	-5.196361e-02	6.225318e-01	-3.372477e-01	-2.852841e-01	1.300346e-01	-2.877521e-22	1.300346e-01	-1.300346e-01
0.0022        	2.615281e-01	-1.568838e-01	4.184119e-01	5.752958e-01	-5.199141e-02	6.272872e-01	-3.396393e-01	-2.876479e-01	1.307640e-01	-2.412817e-22	1.307640e-01	-1.307640e-01
0.0024        	2.626043e-01	-1.584599e-01	4.210642e-01	5.795241e-01	-5.205336e-02	6.315775e-01	-3.418154e-01	-2.897621e-01	1.313022e-01	-2.176112e-22	1.313022e-01	-1.313022e-01
0.0026        	2.636365e-01	-1.600942e-01	4.237307e-01	5.838249e-01	-5.200604e-02	6.358309e-01	-3.439185e-01	-2.919125e-01	1.318183e-01	-2.028793e-22	1.318183e-01	-1.318183e-01
